	funca	qrcode	ocr
node_0	39	4	0
node_1	174	0	9
node_10	53	0	0
node_11	16	0	0
node_12	6	1	0
node_13	28	0	2
node_14	20	2	3
node_15	158	0	0
node_16	16	0	1
node_17	39	4	0
node_18	107	0	3
node_19	83	0	0
node_2	9	31	0
node_20	158	0	0
node_21	39	4	0
node_22	174	0	9
node_23	20	2	3
node_24	158	0	0
node_3	19	0	7
node_4	158	0	0
node_5	39	4	0
node_6	174	0	9
node_7	9	31	0
node_8	16	0	1
node_9	0	6	0
