function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,109.040,109.040,11927770453.333,11927770453.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,88.160,88.160,11926279509.333,11926279509.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,nmap,0,1.000,0.000,0.000,1,0,87.040,87.040,11928528213.333,11928528213.333,10,0
figlet,0,1.000,0.114,5458432.000,1,0,nodeinfo,0,1.000,0.167,22109696.000,1,0,nmap,10,1.000,28.254,35299840.000,1,0,87.400,144.790,11928993792.000,11941919402.667,10,0
figlet,0,1.000,0.121,5742592.000,1,0,nodeinfo,0,1.000,0.148,23157248.000,1,0,nmap,10,1.000,54.894,38184960.000,5,0,184.040,185.148,11958185301.333,11989283157.333,10,0
figlet,0,1.000,0.110,6028288.000,1,0,nodeinfo,0,1.000,0.163,23611904.000,1,0,nmap,10,1.000,53.848,44076032.000,1,0,199.120,190.430,12005711872.000,11990031530.667,10,0
figlet,0,1.000,0.088,6505267.200,1,0,nodeinfo,0,1.000,0.158,24205312.000,1,0,nmap,20,0.168,98.781,85970534.400,1,1,195.960,199.631,11959172437.333,12111553740.800,10,1
figlet,0,1.000,0.099,6948864.000,1,0,nodeinfo,0,1.000,0.158,25305497.600,1,0,nmap,20,0.283,114.348,128714205.867,1,1,197.248,199.618,12101355520.000,12086252612.267,10,1
figlet,0,1.000,0.098,7312042.667,1,0,nodeinfo,0,1.000,0.135,25800294.400,1,0,nmap,20,0.280,109.176,122280072.533,1,1,223.760,200.596,12109163861.333,12117260970.667,10,1
figlet,0,1.000,0.118,7632384.000,1,0,nodeinfo,10,1.000,2.251,26255872.000,1,0,nmap,0,1.000,38.150,87903744.000,1,0,184.040,135.540,12061190826.667,12002512554.667,10,0
figlet,0,1.000,0.139,7909546.667,1,0,nodeinfo,10,1.000,3.087,5431296.000,1,0,nmap,0,1.000,0.209,47955968.000,1,0,131.680,143.880,12018475690.667,12061911722.667,10,0
figlet,0,1.000,0.138,8347136.000,1,0,nodeinfo,10,1.000,2.258,5365760.000,5,0,nmap,0,1.000,0.227,47955968.000,1,0,152.040,137.170,11995432960.000,12010187093.333,10,0
figlet,0,1.000,0.115,8433152.000,1,0,nodeinfo,10,1.000,6.063,5365760.000,5,0,nmap,10,1.000,53.410,57895936.000,5,0,130.440,169.186,12010184021.333,12001733973.333,10,0
figlet,0,1.000,0.101,8430592.000,1,0,nodeinfo,10,1.000,2.696,5423104.000,5,0,nmap,10,1.000,64.802,67062272.000,5,0,200.400,203.520,11995003562.667,12048045397.333,10,0
figlet,0,1.000,0.117,8467456.000,1,0,nodeinfo,10,1.000,4.194,19812352.000,1,0,nmap,10,1.000,55.468,69890389.333,1,0,216.400,218.652,12073771690.667,12197144746.667,10,0
figlet,0,1.000,0.100,8471893.333,1,0,nodeinfo,10,1.000,1.970,17011712.000,1,0,nmap,20,0.097,35.801,103713109.333,1,1,220.280,222.387,12353335978.667,12386139886.933,10,1
figlet,0,1.000,0.101,8527985.778,1,0,nodeinfo,10,1.000,3.696,19707084.800,1,0,nmap,20,0.118,96.123,173434197.333,1,1,219.360,215.799,12450306730.667,12463565824.000,10,1
figlet,0,1.000,0.098,8547532.800,1,0,nodeinfo,10,1.000,2.725,4931584.000,5,0,nmap,20,0.190,89.124,165507072.000,1,1,220.560,216.192,12261175296.000,12235600145.067,10,1
figlet,0,1.000,0.111,8645120.000,1,0,nodeinfo,20,1.000,3.958,7569408.000,5,0,nmap,0,1.000,27.877,66434048.000,1,0,312.840,241.500,12159155541.333,12096352597.333,10,0
figlet,0,1.000,0.100,8637952.000,1,0,nodeinfo,20,1.000,9.017,19801088.000,9,0,nmap,0,1.000,0.244,52842496.000,1,0,141.080,136.760,12097512106.667,12123144192.000,10,0
figlet,0,1.000,0.122,8657920.000,1,0,nodeinfo,20,1.000,9.998,28214272.000,13,0,nmap,0,1.000,0.243,52842496.000,1,0,164.233,141.938,12190863360.000,12231093077.333,10,0
figlet,0,1.000,0.113,8703658.667,1,0,nodeinfo,20,1.000,10.089,29391360.000,20,1,nmap,10,1.000,70.730,78824277.333,5,0,145.200,172.860,12310498645.333,12371153749.333,10,1
figlet,0,1.000,0.105,8721920.000,1,0,nodeinfo,20,1.000,2.805,30109696.000,1,0,nmap,10,0.977,46.811,94109354.667,1,0,216.720,211.194,12482643968.000,12341783210.667,20,0
figlet,0,1.000,0.109,8731477.333,1,0,nodeinfo,20,1.000,7.795,11893248.000,5,0,nmap,10,0.997,54.872,108817578.667,5,0,218.480,218.647,12193688917.333,12182502912.000,10,0
figlet,0,1.000,0.106,8790129.778,1,0,nodeinfo,20,1.000,4.781,16536917.333,1,0,nmap,20,0.150,82.284,123254784.000,1,1,217.400,212.273,12130832384.000,12273981098.667,10,1
