function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,40,1.000,5.254,8983040.000,17,1,nmap,10,1.000,72.713,5775360.000,5,0,199.200,199.385,9623610026.667,9710101162.667,10,1
shasum,40,1.000,5.009,9347072.000,5,0,nmap,10,1.000,32.741,58798080.000,1,0,223.035,186.834,9834167637.333,9822293333.333,20,0
shasum,40,1.000,4.665,5013048.889,13,0,nmap,20,0.127,75.424,2715238.400,1,1,230.097,220.084,9740596565.333,9819939840.000,10,1
shasum,40,1.000,4.307,7959040.000,5,0,nmap,20,0.132,96.897,2969600.000,1,1,196.476,201.701,9905410048.000,9855661260.800,10,1
shasum,40,1.000,3.288,2596864.000,5,0,nmap,20,0.262,95.680,136947848.533,1,1,195.147,192.949,9752083797.333,9744818449.067,10,1
shasum,50,1.000,5.556,3063808.000,1,0,nmap,0,1.000,38.992,63851520.000,1,0,193.745,151.574,9690700458.667,9636925610.667,10,0
shasum,50,1.000,6.608,3696128.000,1,0,nmap,0,1.000,0.202,38094848.000,1,0,126.000,137.370,9574345386.667,9583574357.333,10,0
shasum,50,1.000,7.430,19313152.000,5,0,nmap,0,1.000,0.242,38105088.000,1,0,142.440,140.171,9574437546.667,9579250858.667,10,0
shasum,50,1.000,6.914,5007872.000,5,0,nmap,10,1.000,51.158,57471488.000,5,0,139.080,176.072,9568909312.000,9588987562.667,10,0
shasum,50,1.000,5.591,4600832.000,13,0,nmap,10,1.000,78.461,5929642.667,5,0,200.160,202.218,9598306304.000,9673449301.333,10,0
shasum,50,1.000,5.306,9142954.667,17,1,nmap,10,0.983,56.390,12803584.000,1,0,215.569,209.358,9772029952.000,9824537088.000,10,1
