function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,2.292,3618816.000,1,0,cows,50,1.000,6.559,15605760.000,1,0,168.518,177.511,8940096170.667,8991572992.000,10,0
figlet,20,1.000,4.010,5124096.000,1,0,cows,0,1.000,4.591,14176256.000,1,0,164.800,144.180,8965748053.333,8985701717.333,10,0
figlet,20,1.000,3.427,12699136.000,1,0,cows,0,1.000,0.142,50017280.000,1,0,138.360,118.680,8935438336.000,8937847637.333,10,0
figlet,20,1.000,4.694,3664554.667,1,0,cows,0,1.000,0.148,50009600.000,1,0,127.412,138.453,8908472320.000,8915390293.333,10,0
figlet,20,1.000,5.667,4509696.000,1,0,cows,10,1.000,0.758,50592938.667,1,0,140.720,125.550,8896492885.333,8888113493.333,10,0
figlet,20,1.000,5.848,12558848.000,1,0,cows,10,1.000,1.258,7618560.000,1,0,165.280,149.838,8907248298.667,8944252074.667,10,0
figlet,20,1.000,3.945,12455936.000,1,0,cows,10,1.000,2.069,51485696.000,1,0,154.920,152.940,8915734528.000,8927778816.000,10,0
figlet,20,1.000,4.583,12633088.000,1,0,cows,20,1.000,1.740,7327744.000,1,0,158.240,149.863,8881463978.667,8901932544.000,10,0
figlet,20,1.000,4.704,12669952.000,1,0,cows,20,1.000,2.270,8396800.000,1,0,172.278,155.639,8876538538.667,8907511466.667,10,0
figlet,20,1.000,4.914,4501504.000,1,0,cows,20,1.000,3.290,7258112.000,1,0,159.000,154.370,8891170133.333,8917777237.333,10,0
figlet,20,1.000,4.783,4597760.000,1,0,cows,30,1.000,2.504,7913472.000,1,0,164.400,156.080,8892253525.333,8914583552.000,10,0
figlet,20,1.000,4.972,12665002.667,1,0,cows,30,1.000,3.563,20221952.000,1,0,173.280,159.146,8906657109.333,8928601088.000,10,0
figlet,20,1.000,5.750,3806720.000,1,0,cows,30,1.000,4.357,18538496.000,1,0,172.800,163.351,8893072725.333,8921950549.333,10,0
figlet,20,1.000,5.042,5222400.000,1,0,cows,40,1.000,3.917,6254592.000,1,0,175.165,158.747,8906349226.667,8932360704.000,10,0
figlet,20,1.000,5.165,12687701.333,1,0,cows,40,1.000,4.185,13856768.000,1,0,178.160,164.583,8904252757.333,8928674645.333,10,0
figlet,20,1.000,5.753,12655104.000,5,0,cows,40,1.000,4.696,49573888.000,5,0,175.520,167.142,8902924970.667,8930206378.667,10,0
figlet,20,1.000,4.339,12820480.000,5,0,cows,50,1.000,5.559,15421440.000,5,0,171.560,167.816,8924149077.333,8939047082.667,10,0
figlet,20,1.000,5.509,12977664.000,5,0,cows,50,1.000,5.059,8142848.000,5,0,171.720,178.513,8940400640.000,8940681557.333,10,0
figlet,20,1.000,4.602,12779008.000,5,0,cows,50,1.000,11.362,9841664.000,13,0,175.080,185.078,8927292074.667,9024396970.667,10,0
figlet,30,1.000,4.925,12996096.000,5,0,cows,0,1.000,11.019,12703744.000,1,0,183.334,188.150,9187360085.333,9204327082.667,10,0
figlet,30,1.000,6.704,5315072.000,9,0,cows,0,1.000,0.122,49942186.667,1,0,186.440,146.505,8998208853.333,8944014677.333,10,0
figlet,30,1.000,6.528,8635392.000,13,0,cows,0,1.000,0.108,49850368.000,1,0,123.600,135.881,8959816362.667,9006599680.000,10,0
figlet,30,1.000,6.630,9049088.000,20,1,cows,10,1.000,0.802,49890816.000,5,0,108.960,131.209,9068111189.333,9099158186.667,10,1
figlet,30,1.000,4.841,9512277.333,5,0,cows,10,1.000,0.745,49937408.000,5,0,167.000,169.866,9217748309.333,9207926784.000,20,0
figlet,30,1.000,7.435,4685312.000,9,0,cows,10,1.000,2.348,51266730.667,1,0,203.000,175.504,9037595989.333,9037981013.333,10,0
figlet,30,1.000,7.286,8206336.000,20,1,cows,20,1.000,2.859,5976064.000,5,0,143.480,170.771,9055090005.333,9130621440.000,10,1
figlet,30,1.000,6.400,8634368.000,5,0,cows,20,1.000,3.916,7294976.000,5,0,174.920,166.508,9245161472.000,9248933034.667,20,0
figlet,30,1.000,6.198,13057024.000,9,0,cows,20,1.000,4.209,18464256.000,1,0,198.960,172.796,9073790293.333,9075366058.667,10,0
figlet,30,1.000,7.463,13008896.000,13,0,cows,30,1.000,5.209,16603648.000,5,0,193.095,185.586,9072835242.667,9152194730.667,10,0
figlet,30,1.000,4.858,4633088.000,1,0,cows,30,1.000,3.085,25707861.333,1,0,165.246,187.158,9275624106.667,9284069888.000,20,0
figlet,30,1.000,5.728,4358144.000,1,0,cows,30,1.000,3.417,7487488.000,1,0,195.345,184.498,9021915136.000,9045923328.000,10,0
figlet,30,1.000,6.345,13203968.000,1,0,cows,40,1.000,3.065,7348224.000,1,0,171.954,179.969,9024850602.667,9045163349.333,10,0
figlet,30,1.000,7.637,13243392.000,1,0,cows,40,1.000,5.193,12009472.000,1,0,202.605,202.416,9021508266.667,9040805546.667,10,0
figlet,30,1.000,4.925,13200896.000,1,0,cows,40,1.000,5.134,5726208.000,1,0,193.520,181.850,9012243797.333,9038627157.333,10,0
