function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.073,16913408.000,1,0,env,20,1.000,1.816,3824298.667,5,0,cows,0,1.000,1.043,22406485.333,1,0,141.560,139.840,6133854208.000,5960084821.333,20,0
shasum,0,1.000,0.082,16916480.000,1,0,env,20,1.000,2.954,2703360.000,9,0,cows,0,1.000,0.082,41718272.000,1,0,105.640,95.810,5691462997.333,5711406421.333,10,0
shasum,0,1.000,0.090,16920064.000,1,0,env,20,1.000,3.238,5015040.000,1,0,cows,0,1.000,0.118,40989013.333,1,0,136.600,120.730,5773195946.667,5802864298.667,10,0
shasum,0,1.000,0.078,16921429.333,1,0,env,20,1.000,3.534,6082560.000,1,0,cows,10,1.000,1.156,39647232.000,1,0,137.050,116.190,5713371955.200,5705572010.667,10,0
shasum,0,1.000,0.080,16924672.000,1,0,env,20,1.000,2.847,4763648.000,1,0,cows,10,1.000,2.223,8695808.000,1,0,133.680,141.359,5743395498.667,5752485546.667,10,0
shasum,0,1.000,0.076,16924672.000,1,0,env,20,1.000,2.614,4042752.000,1,0,cows,10,1.000,1.357,7282688.000,1,0,179.760,145.270,5732619605.333,5729503744.000,10,0
shasum,0,1.000,0.071,16924672.000,1,0,env,20,1.000,2.388,4186112.000,1,0,cows,20,1.000,1.667,19300352.000,1,0,131.080,131.240,5716185770.667,5729377109.333,10,0
shasum,0,1.000,0.071,16927744.000,1,0,env,20,1.000,2.517,4501504.000,1,0,cows,20,1.000,2.813,14783488.000,1,0,130.160,127.960,5706376533.333,5713965056.000,10,0
shasum,0,1.000,0.075,16939520.000,1,0,env,20,1.000,2.839,4696064.000,1,0,cows,20,1.000,3.477,14538240.000,1,0,143.360,129.890,5707571882.667,5714138965.333,10,0
shasum,0,1.000,0.077,16950784.000,1,0,env,20,1.000,2.077,4663808.000,1,0,cows,30,1.000,2.358,5328896.000,1,0,133.880,135.250,5705074688.000,5718366208.000,10,0
shasum,0,1.000,0.074,16954880.000,1,0,env,20,1.000,3.087,4506624.000,1,0,cows,30,1.000,3.827,7782400.000,1,0,137.000,131.780,5717572266.667,5722283520.000,10,0
shasum,0,1.000,0.076,16963584.000,1,0,env,20,1.000,3.136,5446656.000,5,0,cows,30,1.000,3.514,5582848.000,5,0,149.120,130.640,5718882986.667,5724061525.333,10,0
