function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,88.360,88.360,11173113856.000,11173113856.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,83.240,83.240,11177961472.000,11177961472.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,env,0,1.000,0.000,0.000,1,0,84.520,84.520,11179000490.667,11179000490.667,10,0
figlet,0,1.000,0.118,5838336.000,1,0,nodeinfo,0,1.000,0.156,21773824.000,1,0,env,10,1.000,1.031,6668629.333,1,0,87.640,100.520,11180092757.333,11167913813.333,10,0
figlet,0,1.000,0.125,6153216.000,1,0,nodeinfo,0,1.000,0.148,22703104.000,1,0,env,10,1.000,2.052,3940352.000,5,0,119.080,123.746,11170385920.000,11195037354.667,10,0
figlet,0,1.000,0.115,6501034.667,1,0,nodeinfo,0,1.000,0.170,23494656.000,1,0,env,10,1.000,1.820,9559381.333,1,0,138.800,121.109,11207791957.333,11198842026.667,10,0
figlet,0,1.000,0.125,6751232.000,1,0,nodeinfo,0,1.000,0.134,24012288.000,1,0,env,20,1.000,3.216,9700352.000,1,0,125.738,150.504,11178736981.333,11201054208.000,10,0
figlet,0,1.000,0.087,7082496.000,1,0,nodeinfo,0,1.000,0.185,24522069.333,1,0,env,20,1.000,3.688,9769472.000,5,0,151.960,137.670,11162067626.667,11152688640.000,10,0
figlet,0,1.000,0.096,7322112.000,1,0,nodeinfo,0,1.000,0.138,25432064.000,1,0,env,20,1.000,2.794,9828352.000,1,0,165.640,156.742,11153876992.000,11164514133.333,10,0
figlet,0,1.000,0.097,7584768.000,1,0,nodeinfo,0,1.000,0.164,25710592.000,1,0,env,30,1.000,3.421,9877504.000,1,0,143.027,138.057,11141156864.000,11148707669.333,10,0
