function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,10,1.000,2.230,7004160.000,5,0,curl,50,1.000,30.070,12346880.000,20,1,185.880,197.458,9507560789.333,9588552021.333,10,1
nodeinfo,10,1.000,1.930,8081408.000,1,0,curl,50,1.000,25.620,12085760.000,5,0,203.996,181.160,9688664064.000,9672647168.000,20,0
nodeinfo,20,1.000,2.835,6156288.000,1,0,curl,0,1.000,13.637,3265024.000,1,0,230.415,183.460,9479671808.000,9481057792.000,10,0
nodeinfo,20,1.000,4.030,6057984.000,1,0,curl,0,1.000,0.190,4161536.000,1,0,148.520,130.620,9418016085.333,9388950869.333,10,0
nodeinfo,20,1.000,3.680,4448256.000,1,0,curl,0,1.000,0.183,31928320.000,1,0,121.253,135.473,9344991232.000,9389387776.000,10,0
nodeinfo,20,1.000,4.294,8482816.000,1,0,curl,10,1.000,3.204,33178624.000,1,0,132.360,129.010,9358393344.000,9367351808.000,10,0
nodeinfo,20,1.000,3.148,5070848.000,1,0,curl,10,1.000,5.992,33401514.667,1,0,169.200,163.571,9445427200.000,9500344832.000,10,0
nodeinfo,20,1.000,3.051,5660672.000,1,0,curl,10,1.000,7.328,4462592.000,1,0,153.221,142.934,9354083669.333,9353385642.667,10,0
nodeinfo,20,1.000,2.685,20144128.000,1,0,curl,20,1.000,8.753,6868992.000,1,0,156.520,156.907,9325454677.333,9355977045.333,10,0
nodeinfo,20,1.000,3.810,5771264.000,1,0,curl,20,1.000,12.868,4851712.000,1,0,166.800,160.690,9336215552.000,9365389312.000,10,0
nodeinfo,20,1.000,3.456,7065600.000,1,0,curl,20,1.000,13.398,5632000.000,1,0,171.960,156.600,9325856768.000,9349508266.667,10,0
nodeinfo,20,1.000,3.070,5562368.000,1,0,curl,30,1.000,16.240,6459392.000,1,0,173.880,167.308,9315490474.667,9351834794.667,10,0
nodeinfo,20,1.000,3.960,5894144.000,5,0,curl,30,1.000,18.155,5115904.000,5,0,186.217,176.089,9325947562.667,9351650474.667,10,0
nodeinfo,20,1.000,2.845,6119424.000,5,0,curl,30,1.000,21.321,6580736.000,5,0,183.080,180.814,9315588096.000,9331336021.333,10,0
nodeinfo,20,1.000,2.302,5935104.000,5,0,curl,40,1.000,26.818,39152128.000,5,0,176.000,183.717,9326232234.667,9345297578.667,10,0
nodeinfo,20,1.000,3.827,6037504.000,5,0,curl,40,1.000,24.293,4777984.000,13,0,182.160,188.914,9337565184.000,9397440000.000,10,0
nodeinfo,20,1.000,6.846,13972992.000,9,0,curl,40,1.000,27.851,10408960.000,17,1,184.415,177.357,9489532928.000,9565721600.000,10,1
nodeinfo,30,1.000,5.859,5185536.000,5,0,curl,0,1.000,3.556,4173824.000,1,0,201.000,164.109,9700393642.667,9686569130.667,20,0
nodeinfo,30,1.000,9.074,18074624.000,9,0,curl,0,1.000,0.183,31903744.000,1,0,162.880,127.946,9430756010.667,9424853674.667,10,0
nodeinfo,30,1.000,11.957,27266048.000,13,0,curl,0,1.000,0.211,31903744.000,1,0,146.040,134.500,9499429546.667,9586723669.333,10,0
nodeinfo,30,1.000,6.937,29043370.667,1,0,curl,10,1.000,5.185,33739264.000,1,0,207.120,159.020,9664786432.000,9572945578.667,20,0
nodeinfo,30,1.000,4.781,6168576.000,1,0,curl,10,1.000,6.894,4497920.000,1,0,140.432,151.903,9302434474.667,9335139328.000,10,0
nodeinfo,30,1.000,5.329,5619712.000,1,0,curl,10,1.000,6.857,6983680.000,1,0,151.600,146.263,9313059498.667,9347119957.333,10,0
nodeinfo,30,1.000,6.000,13916160.000,1,0,curl,20,1.000,8.980,34896384.000,1,0,157.160,158.416,9328501418.667,9361474048.000,10,0
nodeinfo,30,1.000,4.155,14063616.000,1,0,curl,20,1.000,13.619,4560384.000,1,0,171.240,164.373,9336791040.000,9361206784.000,10,0
nodeinfo,30,1.000,6.002,12654592.000,1,0,curl,20,1.000,15.543,5167104.000,1,0,171.880,161.280,9327521109.333,9358098944.000,10,0
nodeinfo,30,1.000,5.765,5713920.000,1,0,curl,30,1.000,15.816,5050368.000,1,0,166.440,170.979,9332533930.667,9363271509.333,10,0
nodeinfo,30,1.000,5.910,6070272.000,5,0,curl,30,1.000,21.549,35632640.000,5,0,192.744,179.966,9355094698.667,9378585258.667,10,0
nodeinfo,30,1.000,5.312,5169152.000,5,0,curl,30,1.000,15.689,5900288.000,5,0,178.720,185.100,9347734186.667,9361265834.667,10,0
nodeinfo,30,1.000,5.164,5885952.000,5,0,curl,40,1.000,24.417,40612352.000,5,0,184.120,191.246,9357789866.667,9382364842.667,10,0
nodeinfo,30,1.000,6.094,10637312.000,5,0,curl,40,1.000,25.389,3059712.000,13,0,185.120,192.190,9384814592.000,9444474538.667,10,0
nodeinfo,30,1.000,7.472,17772032.000,9,0,curl,40,1.000,27.184,8749568.000,17,1,191.040,186.372,9529663488.000,9610721450.667,10,1
nodeinfo,40,1.000,6.210,5509120.000,5,0,curl,0,1.000,3.437,4155392.000,1,0,202.680,166.611,9739247616.000,9717929301.333,20,0
nodeinfo,40,1.000,10.335,19103402.667,9,0,curl,0,1.000,0.187,31878826.667,1,0,164.600,133.579,9457629184.000,9448259413.333,10,0
nodeinfo,40,1.000,14.261,28508160.000,13,0,curl,0,1.000,0.186,31879168.000,1,0,150.240,137.200,9523253930.667,9615061674.667,10,0
nodeinfo,40,1.000,4.822,30264661.333,5,0,curl,10,1.000,4.806,33689088.000,1,0,141.112,163.533,9679927978.667,9604159317.333,20,0
nodeinfo,40,1.000,12.388,12604928.000,13,0,curl,10,1.000,6.155,33683968.000,1,0,175.480,181.932,9381242197.333,9509700096.000,10,0
nodeinfo,40,1.000,7.361,25823914.667,1,0,curl,10,1.000,6.573,3870208.000,1,0,186.040,171.050,9668528810.667,9607916373.333,20,0
nodeinfo,40,1.000,4.257,5738496.000,1,0,curl,20,1.000,11.341,5111808.000,1,0,153.800,163.744,9351402154.667,9399124138.667,10,0
