function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.095,10681139.200,1,0,cows,20,1.000,1.660,7131136.000,5,0,nmap,20,0.352,129.265,181647769.600,1,1,170.880,185.250,13756289024.000,13744697070.933,10,1
figlet,0,1.000,0.087,10688000.000,1,0,cows,30,1.000,2.428,5652480.000,1,0,nmap,0,1.000,19.819,90769920.000,1,0,180.480,114.480,13736602282.667,13678206976.000,10,0
figlet,0,1.000,0.092,10694656.000,1,0,cows,30,1.000,3.956,6135808.000,1,0,nmap,0,1.000,0.193,50432512.000,1,0,98.160,91.220,13646715562.667,13648564394.667,10,0
figlet,0,1.000,0.095,10713600.000,1,0,cows,30,1.000,3.782,4947968.000,1,0,nmap,0,1.000,0.189,50434560.000,1,0,86.520,86.340,13629372416.000,13633746261.333,10,0
figlet,0,1.000,0.094,10725376.000,1,0,cows,30,1.000,4.524,5578752.000,5,0,nmap,10,1.000,63.822,53486592.000,5,0,92.480,127.793,13628912981.333,13640413525.333,10,0
figlet,0,1.000,0.089,10736128.000,1,0,cows,30,0.998,3.147,7245824.000,5,0,nmap,10,1.000,57.345,5363712.000,5,0,169.960,176.322,13662651050.667,13686373034.667,10,0
figlet,0,1.000,0.102,10742272.000,1,0,cows,30,1.000,7.350,8415232.000,9,0,nmap,10,1.000,68.828,5314560.000,1,0,170.040,177.368,13692496554.667,13779367424.000,10,0
figlet,0,1.000,0.094,12585984.000,1,0,cows,30,1.000,6.523,23305102.222,20,1,nmap,20,0.182,88.902,3317760.000,1,1,189.680,207.504,13883410432.000,14095155655.111,10,1
figlet,0,1.000,0.087,13925171.200,1,0,cows,30,1.000,3.373,26730496.000,5,0,nmap,20,0.300,120.397,151504896.000,1,1,216.640,206.053,14080273066.667,13855838617.600,10,1
figlet,0,1.000,0.071,13992448.000,1,0,cows,30,1.000,2.115,4935680.000,5,0,nmap,20,0.635,121.042,122728448.000,5,1,170.520,178.784,13744041984.000,13689902080.000,10,1
figlet,0,1.000,0.088,14031872.000,1,0,cows,40,1.000,3.058,5984256.000,1,0,nmap,0,1.000,25.673,3018752.000,1,0,203.312,210.818,13761992021.333,13681788416.000,10,0
figlet,0,1.000,0.106,14155776.000,1,0,cows,40,1.000,4.657,5505024.000,1,0,nmap,0,1.000,0.186,52142080.000,1,0,83.480,88.290,13600619861.333,13601088682.667,10,0
