function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,20,1.000,3.792,10452480.000,13,0,curl,0,1.000,0.202,30136320.000,1,0,135.880,124.890,9711105365.333,9761189376.000,10,0
shasum,20,1.000,2.932,10470400.000,5,0,curl,10,1.000,5.337,31672832.000,1,0,116.680,132.518,9810800640.000,9812537173.333,20,0
shasum,20,1.000,2.605,10445653.333,13,0,curl,10,1.000,8.048,31323136.000,1,0,179.960,162.214,9703162538.667,9755600042.667,10,0
shasum,20,1.000,2.150,10555904.000,1,0,curl,10,1.000,6.527,4163584.000,1,0,176.395,150.108,9819524437.333,9839847082.667,20,0
shasum,20,1.000,2.782,4134400.000,1,0,curl,20,1.000,7.946,31054848.000,1,0,183.880,166.593,9690606250.667,9705143125.333,10,0
shasum,20,1.000,3.478,5775360.000,1,0,curl,20,1.000,10.877,5060608.000,1,0,170.600,165.000,9699921237.333,9716973056.000,10,0
shasum,20,1.000,3.146,10506752.000,1,0,curl,20,1.000,12.572,4985344.000,1,0,180.280,165.430,9710656853.333,9725893802.667,10,0
shasum,20,1.000,2.835,10508800.000,1,0,curl,30,1.000,20.756,36133034.667,1,0,192.880,183.246,9709160448.000,9730902186.667,10,0
shasum,20,1.000,3.033,10574336.000,1,0,curl,30,1.000,24.662,6912000.000,1,0,194.280,182.793,9721387690.667,9720390826.667,10,0
shasum,20,1.000,2.626,10631168.000,1,0,curl,30,1.000,14.739,4694528.000,1,0,192.800,168.849,9699784704.000,9717118976.000,10,0
shasum,20,1.000,2.069,10568362.667,1,0,curl,40,1.000,20.386,7815168.000,1,0,191.640,178.757,9702150144.000,9710523392.000,10,0
shasum,20,1.000,3.457,10583381.333,5,0,curl,40,1.000,27.065,37179392.000,5,0,201.440,181.027,9712745130.667,9717667840.000,10,0
shasum,20,1.000,3.471,10588672.000,5,0,curl,40,1.000,24.671,38356992.000,5,0,189.640,184.540,9721764522.667,9726956032.000,10,0
shasum,20,1.000,2.739,10641408.000,5,0,curl,50,1.000,30.224,9963520.000,13,0,200.977,200.945,9704248661.333,9764361045.333,10,0
shasum,20,1.000,2.846,4231168.000,9,0,curl,50,1.000,21.667,5131264.000,17,1,201.240,193.543,9875760469.333,9929918805.333,10,1
shasum,20,1.000,2.931,9339050.667,5,0,curl,50,1.000,29.890,10446848.000,5,0,224.800,194.573,10023002794.667,10045746688.000,20,0
shasum,30,1.000,3.787,11146240.000,1,0,curl,0,1.000,13.461,3373056.000,1,0,231.563,182.903,9883972266.667,9828573525.333,10,0
shasum,30,1.000,4.285,11134464.000,1,0,curl,0,1.000,0.211,36243968.000,1,0,151.720,142.970,9712104106.667,9694004736.000,10,0
shasum,30,1.000,5.349,3775146.667,1,0,curl,0,1.000,0.224,36264960.000,1,0,132.720,138.610,9670649856.000,9703780864.000,10,0
shasum,30,1.000,4.587,5156864.000,1,0,curl,10,1.000,5.810,37941248.000,1,0,161.560,143.100,9702054570.667,9685436245.333,10,0
shasum,30,1.000,3.827,11327488.000,1,0,curl,10,1.000,8.074,5693440.000,1,0,210.160,177.222,9679909546.667,9697006250.667,10,0
shasum,30,1.000,4.328,11241984.000,1,0,curl,10,1.000,7.531,4716544.000,1,0,164.000,144.170,9675682474.667,9682805248.000,10,0
shasum,30,1.000,4.850,4007936.000,1,0,curl,20,1.000,10.124,37798912.000,1,0,174.240,155.041,9665638400.000,9680407722.667,10,0
shasum,30,1.000,3.950,11289941.333,5,0,curl,20,1.000,14.372,6174720.000,5,0,225.840,202.155,9660854954.667,9681380352.000,10,0
shasum,30,1.000,4.080,11283968.000,5,0,curl,20,1.000,13.182,39831552.000,5,0,184.480,175.029,9671119530.667,9684175018.667,10,0
shasum,30,1.000,4.883,11250176.000,5,0,curl,30,1.000,21.866,42520405.333,5,0,185.600,183.516,9676138496.000,9693612885.333,10,0
shasum,30,1.000,4.654,11239424.000,9,0,curl,30,1.000,19.226,2965504.000,9,0,197.320,181.728,9687201109.333,9726879402.667,10,0
shasum,30,1.000,3.916,11280896.000,13,0,curl,30,1.000,19.782,4921856.000,13,0,186.280,172.147,9809319936.000,9866155008.000,10,0
shasum,30,1.000,4.780,4736341.333,17,1,curl,40,1.000,22.986,6603264.000,17,1,184.880,182.775,9973351082.667,10043266730.667,10,1
shasum,30,1.000,3.062,7973546.667,1,0,curl,40,1.000,17.461,10042026.667,1,0,211.280,194.341,10179652949.333,10127941461.333,20,0
shasum,30,1.000,2.457,11410432.000,1,0,curl,40,1.000,21.252,2970624.000,1,0,231.758,226.795,9805754368.000,9777668266.667,10,0
shasum,30,1.000,3.520,11465216.000,1,0,curl,50,1.000,24.714,5415424.000,1,0,303.560,254.228,9746365781.333,9775903914.667,10,0
