function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,40,1.000,11.868,15653546.667,5,0,nmap,0,1.000,0.169,51101696.000,1,0,119.920,120.750,9194498730.667,9186766506.667,10,0
nodeinfo,40,1.000,7.786,38735872.000,5,0,nmap,10,1.000,43.962,62620672.000,5,0,123.600,155.517,9188500138.667,9194353322.667,10,0
nodeinfo,40,1.000,6.583,6602752.000,5,0,nmap,10,1.000,73.283,6369280.000,5,0,185.760,192.620,9217253376.000,9257099946.667,10,0
nodeinfo,40,1.000,10.634,5455872.000,9,0,nmap,10,1.000,53.716,5695488.000,1,0,191.663,191.510,9263544320.000,9349539840.000,10,0
nodeinfo,40,1.000,5.418,17228185.600,17,1,nmap,20,0.185,63.237,7295795.200,1,1,205.880,206.169,9460251306.667,9714187878.400,10,1
nodeinfo,40,1.000,4.687,3493888.000,5,0,nmap,20,0.297,102.304,13742080.000,1,1,206.760,208.708,9717497856.000,9482286830.933,10,1
nodeinfo,40,1.000,4.908,6180864.000,5,0,nmap,20,0.313,113.144,156105113.600,1,1,170.069,188.706,9392624298.667,9369873885.867,10,1
nodeinfo,50,1.000,5.207,5672960.000,1,0,nmap,0,1.000,32.185,79451136.000,1,0,184.991,142.205,9376697685.333,9292375381.333,10,0
nodeinfo,50,1.000,7.348,14302208.000,1,0,nmap,0,1.000,0.186,52117504.000,1,0,124.280,121.774,9234479104.000,9249222826.667,10,0
nodeinfo,50,1.000,8.490,16212992.000,1,0,nmap,0,1.000,0.234,52109312.000,1,0,127.280,119.194,9222365184.000,9236526933.333,10,0
nodeinfo,50,1.000,6.077,6295552.000,1,0,nmap,10,1.000,27.714,66134016.000,1,0,124.360,160.111,9208933034.667,9240835242.667,10,0
nodeinfo,50,1.000,6.517,50924032.000,5,0,nmap,10,1.000,60.850,3002368.000,5,0,177.207,251.386,9273816405.333,9301801984.000,10,0
nodeinfo,50,0.999,6.315,50732373.333,5,0,nmap,10,1.000,70.712,6295552.000,5,0,197.085,198.000,9297086464.000,9302762325.333,10,0
nodeinfo,50,1.000,10.916,8267776.000,13,0,nmap,20,0.143,74.010,2842624.000,1,1,202.995,205.129,9286382250.667,9491220480.000,10,1
nodeinfo,50,1.000,4.833,20729856.000,5,0,nmap,20,0.292,102.217,143206673.067,1,1,208.601,206.983,9500370261.333,9406423995.733,10,1
nodeinfo,50,1.000,5.969,6553600.000,5,0,nmap,20,0.205,103.276,156574515.200,1,1,185.777,194.860,9354841429.333,9356926156.800,10,1
