function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,86.160,86.160,12084788565.333,12084788565.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,87.080,87.080,12078367402.667,12078367402.667,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,curl,0,1.000,0.000,0.000,1,0,98.240,98.240,12079894528.000,12079894528.000,10,0
figlet,0,1.000,0.119,5742592.000,1,0,nodeinfo,0,1.000,0.174,21978624.000,1,0,curl,10,1.000,4.365,21050880.000,1,0,98.960,102.880,12075796480.000,12071209813.333,10,0
figlet,0,1.000,0.129,6289408.000,1,0,nodeinfo,0,1.000,0.180,22886912.000,1,0,curl,10,1.000,7.684,2994176.000,1,0,129.440,151.810,12070158336.000,12114332672.000,10,0
figlet,0,1.000,0.099,6605312.000,1,0,nodeinfo,0,1.000,0.161,23339008.000,1,0,curl,10,1.000,8.855,7299072.000,5,0,147.720,141.590,12105506816.000,12101132458.667,10,0
figlet,0,1.000,0.106,6805504.000,1,0,nodeinfo,0,1.000,0.175,23810048.000,1,0,curl,20,1.000,10.955,3174400.000,5,0,168.000,171.200,12111203669.333,12130100224.000,10,0
figlet,0,1.000,0.105,7044437.333,1,0,nodeinfo,0,1.000,0.199,24625152.000,1,0,curl,20,1.000,13.142,2994176.000,5,0,170.000,163.881,12109950293.333,12115264341.333,10,0
figlet,0,1.000,0.121,7364096.000,1,0,nodeinfo,0,1.000,0.154,25399296.000,1,0,curl,20,1.000,17.347,3717802.667,1,0,178.400,176.615,12114871637.333,12139766101.333,10,0
figlet,0,1.000,0.099,7574016.000,1,0,nodeinfo,0,1.000,0.140,25664512.000,1,0,curl,30,1.000,19.940,5255168.000,1,0,187.600,166.830,12115501738.667,12116740266.667,10,0
figlet,0,1.000,0.113,7909205.333,1,0,nodeinfo,0,1.000,0.122,25338368.000,1,0,curl,30,1.000,19.872,3896661.333,5,0,190.600,163.710,12115579699.200,12123709952.000,10,0
figlet,0,1.000,0.101,8169472.000,1,0,nodeinfo,0,1.000,0.148,25157120.000,1,0,curl,30,1.000,15.962,3100672.000,5,0,170.160,205.754,12130808490.667,12166123178.667,10,0
figlet,0,1.000,0.099,8326144.000,1,0,nodeinfo,0,1.000,0.144,25372160.000,1,0,curl,40,1.000,19.165,3055616.000,9,0,202.280,167.780,12172897621.333,12180282197.333,10,0
figlet,0,1.000,0.091,8368128.000,1,0,nodeinfo,0,1.000,0.129,25503744.000,1,0,curl,40,1.000,29.726,6006613.333,17,1,184.280,185.180,12227770368.000,12296436224.000,10,1
figlet,0,1.000,0.122,8456704.000,1,0,nodeinfo,0,1.000,0.146,25573546.667,1,0,curl,40,1.000,21.817,3039232.000,5,0,154.000,176.670,12349905578.667,12343051776.000,20,0
figlet,0,1.000,0.094,8474112.000,1,0,nodeinfo,0,1.000,0.151,25576448.000,1,0,curl,50,1.000,31.476,6048597.333,1,0,187.791,173.908,12160614400.000,12165603669.333,10,0
figlet,0,1.000,0.102,8502784.000,1,0,nodeinfo,0,1.000,0.143,25588906.667,1,0,curl,50,1.000,24.591,4685312.000,5,0,184.240,197.943,12142756522.667,12170048512.000,10,0
figlet,0,1.000,0.090,8624640.000,1,0,nodeinfo,0,1.000,0.136,25707008.000,1,0,curl,50,1.000,31.540,6211584.000,5,0,185.760,184.299,12149574314.667,12159278250.667,10,0
figlet,0,1.000,0.097,8692736.000,1,0,nodeinfo,10,1.000,1.977,27299328.000,1,0,curl,0,1.000,12.040,3566592.000,1,0,186.560,150.700,12153863509.333,12161444352.000,10,0
figlet,0,1.000,0.096,8705024.000,1,0,nodeinfo,10,1.000,2.899,5894144.000,1,0,curl,0,1.000,0.162,32542720.000,1,0,135.520,112.840,12146969941.333,12150007808.000,10,0
figlet,0,1.000,0.110,8770560.000,1,0,nodeinfo,10,1.000,5.255,12883968.000,1,0,curl,0,1.000,0.190,32542720.000,1,0,112.280,132.390,12133540522.667,12181098496.000,10,0
figlet,0,1.000,0.095,8798208.000,1,0,nodeinfo,10,1.000,1.990,6791168.000,1,0,curl,10,1.000,3.709,33477120.000,1,0,112.080,118.690,12139311104.000,12155502250.667,10,0
figlet,0,1.000,0.090,8798208.000,1,0,nodeinfo,10,1.000,2.477,5513216.000,1,0,curl,10,1.000,6.804,4391936.000,1,0,146.200,139.630,12136780458.667,12180042069.333,10,0
figlet,0,1.000,0.103,8846848.000,1,0,nodeinfo,10,1.000,1.882,7528448.000,5,0,curl,10,1.000,8.444,4316160.000,5,0,157.440,156.010,12172322816.000,12198485162.667,10,0
figlet,0,1.000,0.091,8859648.000,1,0,nodeinfo,10,1.000,2.663,5378048.000,5,0,curl,20,1.000,12.660,6164480.000,5,0,155.160,164.600,12180218538.667,12195251200.000,10,0
figlet,0,1.000,0.078,8876032.000,1,0,nodeinfo,10,1.000,2.761,14086144.000,5,0,curl,20,1.000,16.174,6446592.000,5,0,167.480,162.980,12201442645.333,12206768469.333,10,0
figlet,0,1.000,0.100,8896512.000,1,0,nodeinfo,10,1.000,2.484,6721536.000,1,0,curl,20,1.000,13.942,5967360.000,9,0,168.560,164.679,12191508480.000,12236739413.333,10,0
figlet,0,1.000,0.092,8898048.000,1,0,nodeinfo,10,1.000,2.517,4915200.000,1,0,curl,30,1.000,18.256,9993386.667,17,1,147.800,178.140,12277315584.000,12361617066.667,10,1
figlet,0,1.000,0.074,8900608.000,1,0,nodeinfo,10,1.000,1.904,5574656.000,1,0,curl,30,1.000,12.962,10080256.000,1,0,196.760,171.130,12436774912.000,12474643797.333,20,0
figlet,0,1.000,0.088,8900608.000,1,0,nodeinfo,10,1.000,2.290,5259264.000,1,0,curl,30,1.000,20.935,4889088.000,1,0,209.240,176.920,12237893632.000,12263492949.333,10,0
figlet,0,1.000,0.092,8900608.000,1,0,nodeinfo,10,1.000,2.980,9220096.000,1,0,curl,40,1.000,16.969,5652480.000,1,0,171.080,173.278,12236433408.000,12259146581.333,10,0
figlet,0,1.000,0.100,8901120.000,1,0,nodeinfo,10,1.000,2.255,5287936.000,1,0,curl,40,1.000,22.549,5715968.000,1,0,189.000,185.980,12228398421.333,12256045056.000,10,0
figlet,0,1.000,0.084,8904704.000,1,0,nodeinfo,10,1.000,1.760,6774784.000,5,0,curl,40,1.000,23.803,6215680.000,5,0,198.488,184.022,12251101866.667,12272902485.333,10,0
figlet,0,1.000,0.098,8904704.000,1,0,nodeinfo,10,1.000,2.717,5447680.000,5,0,curl,50,1.000,19.525,40674816.000,5,0,184.480,191.580,12264077994.667,12268803584.000,10,0
figlet,0,1.000,0.096,8906240.000,1,0,nodeinfo,10,1.000,2.050,4833280.000,1,0,curl,50,1.000,35.356,8723456.000,9,0,189.560,194.150,12250651306.667,12319490389.333,10,0
figlet,0,1.000,0.090,8908800.000,1,0,nodeinfo,10,1.000,2.644,5222400.000,1,0,curl,50,1.000,28.819,11847680.000,17,1,194.320,207.400,12366038357.333,12449633621.333,10,1
figlet,0,1.000,0.100,8919040.000,1,0,nodeinfo,20,1.000,3.551,5640192.000,1,0,curl,0,1.000,3.592,3716608.000,1,0,201.080,158.310,12511948117.333,12515237546.667,20,0
figlet,0,1.000,0.118,8925184.000,1,0,nodeinfo,20,1.000,3.449,9019392.000,1,0,curl,0,1.000,0.181,32759808.000,1,0,180.920,151.110,12275691520.000,12253598720.000,10,0
figlet,0,1.000,0.099,8932352.000,1,0,nodeinfo,20,0.998,4.009,5959680.000,1,0,curl,0,1.000,0.180,32759808.000,1,0,139.119,122.799,12241954133.333,12244853077.333,10,0
figlet,0,1.000,0.093,9004373.333,1,0,nodeinfo,20,1.000,4.367,5591040.000,1,0,curl,10,1.000,3.796,34023424.000,1,0,121.200,130.740,12214718464.000,12234594986.667,10,0
figlet,0,1.000,0.099,8949589.333,1,0,nodeinfo,20,1.000,4.256,5877760.000,1,0,curl,10,1.000,7.633,4440064.000,1,0,153.400,153.670,12222842880.000,12261073237.333,10,0
figlet,0,1.000,0.108,8953856.000,1,0,nodeinfo,20,1.000,3.149,12828672.000,1,0,curl,10,1.000,6.503,4777984.000,1,0,154.400,152.600,12242552149.333,12267773610.667,10,0
figlet,0,1.000,0.117,8958976.000,1,0,nodeinfo,20,1.000,3.398,7352320.000,1,0,curl,20,1.000,11.409,5281792.000,1,0,170.040,165.350,12233956010.667,12263653205.333,10,0
figlet,0,1.000,0.095,8962048.000,1,0,nodeinfo,20,1.000,3.748,5910528.000,5,0,curl,20,1.000,14.437,37453482.667,5,0,178.200,171.910,12240771072.000,12267627008.000,10,0
figlet,0,1.000,0.099,8962048.000,1,0,nodeinfo,20,1.000,4.127,6275072.000,5,0,curl,20,1.000,16.334,5462016.000,5,0,176.840,178.410,12247490560.000,12264122709.333,10,0
figlet,0,1.000,0.100,8964096.000,1,0,nodeinfo,20,1.000,4.055,14158848.000,5,0,curl,30,1.000,11.443,37236224.000,5,0,176.320,184.190,12256938666.667,12267389098.667,10,0
figlet,0,1.000,0.103,8970240.000,1,0,nodeinfo,20,1.000,5.708,6377472.000,5,0,curl,30,1.000,18.666,7328768.000,13,0,191.880,190.194,12271537493.333,12326121472.000,10,0
figlet,0,1.000,0.101,8970240.000,1,0,nodeinfo,20,1.000,7.383,14588245.333,9,0,curl,30,1.000,19.521,10866517.333,17,1,188.120,179.130,12429972821.333,12499863552.000,10,1
figlet,0,1.000,0.087,8972800.000,1,0,nodeinfo,30,1.000,6.132,21270528.000,5,0,curl,0,1.000,3.124,11028480.000,1,0,187.520,162.630,12616689664.000,12588527445.333,20,0
figlet,0,1.000,0.093,9014272.000,1,0,nodeinfo,30,1.000,6.670,15503360.000,1,0,curl,0,1.000,0.179,32899072.000,1,0,181.800,141.450,12338724181.333,12304988842.667,10,0
figlet,0,1.000,0.093,8974336.000,1,0,nodeinfo,30,1.000,4.971,5738496.000,1,0,curl,0,1.000,0.167,32899072.000,1,0,129.500,124.260,12231315456.000,12263529301.333,10,0
figlet,0,1.000,0.104,9021440.000,1,0,nodeinfo,30,1.000,4.934,14018560.000,1,0,curl,10,1.000,3.062,34932736.000,1,0,115.400,132.090,12237273770.667,12244439893.333,10,0
figlet,0,1.000,0.095,8986112.000,1,0,nodeinfo,30,1.000,4.694,4710400.000,1,0,curl,10,1.000,4.727,4311040.000,1,0,155.520,157.390,12226500608.000,12269300224.000,10,0
figlet,0,1.000,0.091,8989184.000,1,0,nodeinfo,30,1.000,5.501,7417856.000,1,0,curl,10,1.000,6.956,35361280.000,1,0,170.120,159.750,12250084693.333,12282978133.333,10,0
figlet,0,1.000,0.089,9106944.000,1,0,nodeinfo,30,1.000,4.272,5214208.000,1,0,curl,20,1.000,10.892,5105664.000,1,0,160.480,166.930,12252543658.667,12281670656.000,10,0
figlet,0,1.000,0.099,8998912.000,1,0,nodeinfo,30,1.000,5.629,5971968.000,5,0,curl,20,1.000,14.990,4363264.000,5,0,179.560,179.620,12277763413.333,12285054976.000,10,0
figlet,0,1.000,0.084,9002496.000,1,0,nodeinfo,30,1.000,4.705,5488640.000,5,0,curl,20,1.000,12.324,4282368.000,5,0,179.720,177.490,12282209621.333,12288143189.333,10,0
