function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.098,8875008.000,1,0,env,20,1.000,1.974,4222464.000,5,0,curl,0,1.000,3.132,7718912.000,1,0,139.800,118.070,13066729472.000,13082114218.667,20,0
figlet,0,1.000,0.093,8949760.000,1,0,env,20,1.000,2.028,2760704.000,9,0,curl,0,1.000,0.183,16519168.000,1,0,132.440,95.220,12865489578.667,12841709738.667,10,0
figlet,0,1.000,0.090,8965632.000,1,0,env,20,1.000,3.263,4094464.000,1,0,curl,0,1.000,0.189,16519168.000,1,0,96.160,102.720,12873143637.333,12915549525.333,10,0
figlet,0,1.000,0.100,9079296.000,1,0,env,20,1.000,2.966,5027840.000,1,0,curl,10,1.000,4.796,19093504.000,1,0,204.840,152.500,12867853653.333,12833162240.000,10,0
figlet,0,1.000,0.062,9125888.000,1,0,env,20,1.000,3.065,4317184.000,1,0,curl,10,1.000,7.985,4927488.000,1,0,121.050,109.290,12803077734.400,12840793088.000,10,0
figlet,0,1.000,0.086,9128448.000,1,0,env,20,1.000,2.906,4058624.000,1,0,curl,10,1.000,6.433,4232192.000,1,0,124.800,113.500,12828138154.667,12843891370.667,10,0
figlet,0,1.000,0.095,9129984.000,1,0,env,20,1.000,2.515,4059648.000,1,0,curl,20,1.000,12.778,7012352.000,1,0,130.080,122.480,12827533994.667,12846108330.667,10,0
figlet,0,1.000,0.074,9129984.000,1,0,env,20,1.000,2.982,6074368.000,1,0,curl,20,1.000,12.299,7532544.000,1,0,143.400,131.550,12824363690.667,12841733120.000,10,0
figlet,0,1.000,0.083,9133909.333,1,0,env,20,1.000,2.345,4333568.000,1,0,curl,20,1.000,13.204,4659200.000,1,0,138.040,128.680,12827785216.000,12841513642.667,10,0
figlet,0,1.000,0.070,9140224.000,1,0,env,20,1.000,3.328,4679680.000,1,0,curl,30,1.000,21.817,5132288.000,1,0,148.720,137.953,12824801962.667,12843063637.333,10,0
figlet,0,1.000,0.086,9175040.000,1,0,env,20,1.000,2.668,3679744.000,1,0,curl,30,1.000,22.729,5809152.000,1,0,160.480,145.200,12837912576.000,12855926954.667,10,0
figlet,0,1.000,0.086,9183232.000,1,0,env,20,1.000,2.726,4022784.000,5,0,curl,30,1.000,20.528,6788096.000,5,0,158.560,147.580,12843104256.000,12856557568.000,10,0
figlet,0,1.000,0.111,9183232.000,1,0,env,20,1.000,2.828,4341760.000,5,0,curl,40,1.000,24.163,5230592.000,5,0,155.000,159.610,12840574976.000,12862894250.667,10,0
figlet,0,1.000,0.095,9186304.000,1,0,env,20,1.000,2.682,4237312.000,5,0,curl,40,1.000,18.905,3633152.000,5,0,162.640,164.730,12854054912.000,12876942165.333,10,0
figlet,0,1.000,0.091,9188352.000,1,0,env,20,1.000,2.735,4192256.000,5,0,curl,40,1.000,23.579,6459904.000,13,0,164.360,172.790,12864361813.333,12913600341.333,10,0
figlet,0,1.000,0.091,9195008.000,1,0,env,20,1.000,2.877,3256320.000,9,0,curl,50,1.000,28.636,11556693.333,17,1,174.680,170.872,12977858560.000,13035211605.333,10,1
figlet,0,1.000,0.099,9734144.000,1,0,env,20,1.000,1.357,4910080.000,5,0,curl,50,1.000,21.840,11042133.333,5,0,193.520,159.801,13146412373.333,13169085781.333,20,0
figlet,0,1.000,0.094,10128042.667,1,0,env,20,1.000,2.973,4233045.333,1,0,curl,50,1.000,25.263,5910528.000,1,0,209.880,184.200,12992451925.333,12943915690.667,10,0
figlet,0,1.000,0.096,10330112.000,1,0,env,30,1.000,3.502,4732928.000,1,0,curl,0,1.000,15.422,9359360.000,1,0,197.840,141.660,12886419456.000,12883722581.333,10,0
figlet,0,1.000,0.088,10333696.000,1,0,env,30,1.000,4.786,4425557.333,1,0,curl,0,1.000,0.162,19226624.000,1,0,110.000,89.460,12842372437.333,12836600661.333,10,0
figlet,0,1.000,0.100,10334208.000,1,0,env,30,1.000,4.003,4343808.000,1,0,curl,0,1.000,0.198,19226624.000,1,0,91.920,98.530,12827425450.667,12859152384.000,10,0
figlet,0,1.000,0.092,10334208.000,1,0,env,30,1.000,4.376,4574720.000,1,0,curl,10,1.000,4.476,20846080.000,1,0,101.800,98.530,12845131776.000,12838889984.000,10,0
figlet,0,1.000,0.103,10334208.000,1,0,env,30,1.000,3.721,6832128.000,1,0,curl,10,1.000,6.552,5347328.000,1,0,120.680,116.505,12841825621.333,12877880320.000,10,0
figlet,0,1.000,0.084,10334208.000,1,0,env,30,1.000,4.324,4485632.000,1,0,curl,10,1.000,5.318,4571136.000,1,0,129.840,116.166,12869619029.333,12876067328.000,10,0
figlet,0,1.000,0.087,10335402.667,1,0,env,30,1.000,4.013,4333568.000,1,0,curl,20,1.000,14.551,5310464.000,1,0,136.320,130.320,12856933034.667,12882237269.333,10,0
figlet,0,1.000,0.084,10338304.000,1,0,env,30,1.000,3.220,4327424.000,1,0,curl,20,1.000,15.111,4870144.000,1,0,142.480,133.880,12871219882.667,12884422485.333,10,0
figlet,0,1.000,0.085,10338304.000,1,0,env,30,1.000,3.231,4786176.000,1,0,curl,20,1.000,14.938,5818368.000,1,0,151.240,132.093,12870779562.667,12885396138.667,10,0
figlet,0,1.000,0.094,10338304.000,1,0,env,30,1.000,3.802,4129792.000,5,0,curl,30,1.000,12.350,5746176.000,5,0,157.880,145.270,12875980117.333,12896077482.667,10,0
figlet,0,1.000,0.083,10341888.000,1,0,env,30,1.000,4.055,5722112.000,5,0,curl,30,1.000,18.136,5613056.000,5,0,143.680,150.790,12877848576.000,12898105344.000,10,0
figlet,0,1.000,0.085,10342400.000,1,0,env,30,1.000,3.181,4581376.000,5,0,curl,30,1.000,13.023,6064128.000,5,0,158.080,150.390,12884381696.000,12902108501.333,10,0
figlet,0,1.000,0.096,10342400.000,1,0,env,30,1.000,3.992,5049344.000,9,0,curl,40,1.000,23.259,2584576.000,9,0,161.160,152.920,12889543338.667,12941740885.333,10,0
figlet,0,1.000,0.098,10340864.000,1,0,env,30,1.000,4.487,4689408.000,13,0,curl,40,1.000,25.114,5388288.000,13,0,152.720,159.720,13025373525.333,13086140928.000,10,0
figlet,0,1.000,0.108,10360832.000,1,0,env,30,1.000,4.198,4369920.000,17,1,curl,40,1.000,25.965,11379200.000,17,1,175.520,240.430,13182075562.667,13249407146.667,10,1
