function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,20,1.000,3.446,4726272.000,9,0,cows,0,1.000,0.125,65554944.000,1,0,179.440,131.640,9884570965.333,9829015040.000,10,0
env,20,1.000,4.397,8283648.000,13,0,cows,0,1.000,0.111,65619456.000,1,0,122.200,127.100,9847306922.667,9896328874.667,10,0
env,20,1.000,3.873,3590826.667,17,1,cows,10,1.000,1.197,64743594.667,1,0,101.520,124.389,9950104917.333,9979730090.667,10,1
env,20,1.000,2.844,2641920.000,5,0,cows,10,1.000,2.050,65127936.000,1,0,139.953,163.120,10043497813.333,10064687104.000,20,0
env,20,1.000,3.137,4413952.000,13,0,cows,10,1.000,1.172,65170944.000,1,0,199.120,174.590,9866775893.333,9914414933.333,10,0
env,20,1.000,2.153,7152640.000,5,0,cows,20,1.000,1.761,18685952.000,5,0,167.116,160.676,9973618005.333,10020208469.333,20,0
env,20,1.000,2.422,4457984.000,1,0,cows,20,1.000,4.105,68082688.000,1,0,196.680,153.560,9886832640.000,9899892053.333,10,0
env,20,1.000,2.737,6471680.000,1,0,cows,20,1.000,2.516,67087872.000,1,0,154.800,147.200,9851954517.333,9875609770.667,10,0
env,20,1.000,3.363,3835904.000,1,0,cows,30,1.000,5.933,5283840.000,9,0,152.699,157.375,9851775658.667,9912245077.333,10,0
env,20,1.000,2.946,6098944.000,1,0,cows,30,1.000,6.480,20036266.667,1,0,179.151,176.318,10027765077.333,10054084949.333,10,0
env,20,1.000,2.845,4646912.000,1,0,cows,30,1.000,3.188,67140096.000,1,0,186.320,169.040,9896536746.667,9890924202.667,10,0
env,20,1.000,2.364,3823616.000,1,0,cows,40,1.000,4.923,5898240.000,1,0,172.008,164.375,9852291072.000,9875054762.667,10,0
env,20,1.000,3.283,4353024.000,1,0,cows,40,1.000,5.283,6062080.000,1,0,168.360,172.540,9839545002.667,9869102421.333,10,0
env,20,1.000,2.713,6733824.000,1,0,cows,40,1.000,4.392,66823680.000,1,0,157.080,159.152,9848638805.333,9875473066.667,10,0
env,20,1.000,2.997,6795264.000,1,0,cows,50,1.000,5.721,6381568.000,1,0,168.520,163.001,9858076672.000,9886020437.333,10,0
env,20,1.000,2.649,4117504.000,1,0,cows,50,1.000,5.183,67152554.667,1,0,178.680,164.091,9848611498.667,9874293418.667,10,0
env,20,1.000,2.976,6098944.000,1,0,cows,50,1.000,5.071,67542528.000,1,0,157.680,148.290,9851059541.333,9872222378.667,10,0
env,30,1.000,3.401,4237824.000,1,0,cows,0,1.000,1.982,67142144.000,1,0,169.640,138.918,9843305130.667,9865632256.000,10,0
env,30,1.000,4.444,6590464.000,1,0,cows,0,1.000,0.123,67219797.333,1,0,118.400,112.454,9817809578.667,9822728533.333,10,0
