function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.132,27363840.000,1,0,env,10,1.000,1.790,2818048.000,1,0,cows,20,1.000,11.085,24842752.000,17,1,224.880,193.380,4730786474.667,4826919424.000,10,1
nodeinfo,0,1.000,0.144,25556992.000,1,0,env,20,1.000,2.007,2936832.000,5,0,cows,0,1.000,2.108,25161728.000,1,0,161.240,155.825,4912368981.333,4737138688.000,20,0
nodeinfo,0,1.000,0.145,25854464.000,1,0,env,20,1.000,3.142,3026944.000,9,0,cows,0,1.000,0.101,41313792.000,1,0,111.920,100.423,4467013632.000,4480133632.000,10,0
nodeinfo,0,1.000,0.136,26018304.000,1,0,env,20,1.000,3.855,5049002.667,1,0,cows,0,1.000,0.089,40868352.000,1,0,128.360,117.640,4532519594.667,4564396032.000,10,0
nodeinfo,0,1.000,0.148,26192384.000,1,0,env,20,1.000,2.712,4120064.000,1,0,cows,10,1.000,0.658,40585728.000,1,0,145.840,113.610,4506804224.000,4479362048.000,10,0
nodeinfo,0,1.000,0.145,26188800.000,1,0,env,20,1.000,3.139,5857280.000,1,0,cows,10,0.997,3.741,17981440.000,1,0,131.880,142.093,4501516970.667,4496451242.667,10,0
nodeinfo,0,1.000,0.106,25961984.000,1,0,env,20,1.000,2.280,4659200.000,1,0,cows,10,1.000,1.415,5701632.000,1,0,126.360,127.990,4471521962.667,4480661333.333,10,0
nodeinfo,0,1.000,0.127,26256384.000,1,0,env,20,1.000,2.919,4214784.000,1,0,cows,20,1.000,1.730,6086656.000,1,0,146.320,133.780,4480687445.333,4486393856.000,10,0
nodeinfo,0,1.000,0.142,26315093.333,1,0,env,20,1.000,3.545,4165632.000,1,0,cows,20,1.000,3.608,14513664.000,1,0,135.720,132.820,4471168341.333,4480109056.000,10,0
nodeinfo,0,1.000,0.141,26387968.000,1,0,env,20,1.000,3.567,4202496.000,1,0,cows,20,1.000,1.891,4759552.000,1,0,139.695,130.304,4470748501.333,4480271360.000,10,0
nodeinfo,0,1.000,0.128,26481664.000,1,0,env,20,1.000,1.989,5955584.000,1,0,cows,30,1.000,3.865,13711360.000,1,0,138.240,133.250,4480277845.333,4483449514.667,10,0
nodeinfo,0,1.000,0.149,26588672.000,1,0,env,20,1.000,2.504,4405248.000,1,0,cows,30,0.999,3.398,7303168.000,1,0,143.960,143.600,4474456746.667,4484256938.667,10,0
nodeinfo,0,1.000,0.151,26711552.000,1,0,env,20,1.000,2.133,4303872.000,1,0,cows,30,1.000,4.183,5238784.000,1,0,148.000,134.350,4473156949.333,4487073450.667,10,0
nodeinfo,0,1.000,0.131,26853717.333,1,0,env,20,1.000,2.171,4198400.000,1,0,cows,40,1.000,3.728,6012928.000,1,0,133.560,133.450,4482620757.333,4489494357.333,10,0
nodeinfo,0,1.000,0.147,26972160.000,1,0,env,20,1.000,3.507,4165632.000,5,0,cows,40,1.000,3.745,20086784.000,5,0,146.960,139.333,4482390698.667,4483248981.333,10,0
nodeinfo,0,1.000,0.145,26958165.333,1,0,env,20,1.000,2.857,2871296.000,5,0,cows,40,1.000,5.254,7520256.000,5,0,134.680,159.150,4488246613.333,4523269973.333,10,0
nodeinfo,0,1.000,0.137,27087360.000,1,0,env,20,1.000,3.243,4384256.000,5,0,cows,50,1.000,6.265,11345920.000,5,0,178.760,161.370,4635619328.000,4620958037.333,10,0
nodeinfo,0,1.000,0.131,27216384.000,1,0,env,20,1.000,3.378,4111018.667,5,0,cows,50,1.000,11.095,20672512.000,13,0,153.480,171.352,4628630869.333,4734337536.000,10,0
nodeinfo,0,1.000,0.145,27037354.667,1,0,env,20,1.000,3.606,3203072.000,5,0,cows,50,1.000,15.586,28344832.000,20,1,170.560,183.360,4851970730.667,4955737600.000,10,1
nodeinfo,0,1.000,0.131,26996736.000,1,0,env,30,1.000,2.037,5495466.667,5,0,cows,0,1.000,2.071,28686336.000,1,0,150.440,132.910,5066566314.667,4810821120.000,20,0
nodeinfo,0,1.000,0.120,27023360.000,1,0,env,30,1.000,4.051,3063808.000,9,0,cows,0,1.000,0.086,41370112.000,1,0,130.080,112.400,4521326592.000,4541449728.000,10,0
nodeinfo,0,1.000,0.131,27217920.000,1,0,env,30,1.000,4.993,5069312.000,13,0,cows,0,1.000,0.101,41553920.000,1,0,125.280,103.420,4604112213.333,4633438549.333,10,0
nodeinfo,0,1.000,0.132,27381248.000,1,0,env,30,1.000,3.814,4101632.000,5,0,cows,10,1.000,0.807,40686080.000,1,0,105.840,116.200,4632482474.667,4626463061.333,20,0
nodeinfo,0,1.000,0.129,27482624.000,1,0,env,30,1.000,4.216,5761536.000,13,0,cows,10,1.000,1.953,14481408.000,1,0,150.680,140.840,4530111829.333,4608208896.000,10,0
nodeinfo,0,1.000,0.153,27558912.000,1,0,env,30,1.000,4.188,3485696.000,5,0,cows,10,1.000,1.791,5345280.000,1,0,141.320,136.230,4692677290.667,4659430570.667,20,0
nodeinfo,0,1.000,0.144,27563520.000,1,0,env,30,1.000,4.402,4279808.000,9,0,cows,20,1.000,3.718,17312768.000,5,0,174.200,135.980,4510287189.333,4606201856.000,10,0
nodeinfo,0,1.000,0.115,27540992.000,1,0,env,30,1.000,5.363,8196096.000,13,0,cows,20,1.000,6.801,24912384.000,9,0,138.120,135.950,4735326890.667,4824307370.667,10,0
