function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,10,0.997,2.595,84953770.667,5,0,env,50,1.000,6.501,4303530.667,13,0,163.560,159.131,8372523690.667,8444499797.333,10,0
nodeinfo,10,1.000,2.755,10883072.000,5,0,env,50,1.000,7.697,8600064.000,20,1,173.000,168.610,8514501973.333,8534112938.667,10,1
nodeinfo,20,1.000,2.667,8450048.000,5,0,env,0,1.000,1.954,9262592.000,1,0,166.680,137.400,8595432789.333,8479628970.667,20,0
nodeinfo,20,1.000,8.249,7081984.000,9,0,env,0,1.000,0.103,19180032.000,1,0,138.920,115.480,8276974933.333,8307975168.000,10,0
nodeinfo,20,1.000,10.916,16278016.000,13,0,env,0,1.000,0.068,19183104.000,1,0,139.600,119.430,8389842261.333,8459224064.000,10,0
nodeinfo,20,1.000,6.328,24145920.000,5,0,env,10,1.000,0.616,19210752.000,5,0,125.120,134.570,8527816704.000,8395024042.667,20,0
nodeinfo,20,1.000,10.474,10883072.000,13,0,env,10,1.000,1.521,2969600.000,5,0,138.720,151.510,8275105792.000,8348026880.000,10,0
nodeinfo,20,1.000,9.628,23313408.000,20,1,env,10,1.000,1.005,2920448.000,5,0,173.440,168.820,8416970752.000,8512885589.333,10,1
nodeinfo,30,1.000,5.812,5660672.000,5,0,env,0,1.000,0.662,4654876.444,1,0,154.400,147.799,8607691434.667,8379692714.667,20,0
nodeinfo,30,1.000,10.043,16524800.000,9,0,env,0,1.000,0.105,19218944.000,1,0,130.000,118.053,8139324757.333,8165505365.333,10,0
nodeinfo,30,1.000,11.237,27704832.000,13,0,env,0,1.000,0.086,19222528.000,1,0,122.560,119.990,8232247978.667,8274660010.667,10,0
nodeinfo,30,1.000,12.241,29631488.000,17,1,env,10,1.000,1.614,19222528.000,1,0,134.000,137.640,8352541354.667,8421927936.000,10,1
nodeinfo,30,1.000,5.197,29559466.667,5,0,env,10,1.000,1.633,19250176.000,1,0,172.280,167.850,8574948010.667,8398432768.000,20,0
nodeinfo,30,1.000,9.052,84518912.000,1,0,env,10,1.000,1.971,4517888.000,1,0,183.120,165.670,8171159552.000,8215915861.333,10,0
nodeinfo,30,1.000,4.866,84509184.000,1,0,env,20,1.000,2.846,4204544.000,1,0,163.400,150.390,8136728576.000,8155364693.333,10,0
nodeinfo,30,1.000,6.213,84959744.000,1,0,env,20,1.000,2.822,4556800.000,1,0,158.120,156.200,8124846080.000,8129918122.667,10,0
nodeinfo,30,1.000,5.044,84979200.000,1,0,env,20,1.000,2.522,3998720.000,1,0,151.000,144.400,8118428330.667,8129037312.000,10,0
nodeinfo,30,1.000,5.953,13598720.000,1,0,env,30,1.000,4.157,4575232.000,1,0,146.640,151.140,8134125568.000,8142694229.333,10,0
nodeinfo,30,1.000,4.763,85095424.000,1,0,env,30,1.000,3.664,4050432.000,1,0,180.680,173.380,8111998976.000,8109320704.000,10,0
nodeinfo,30,1.000,4.852,85698730.667,1,0,env,30,1.000,3.535,4421632.000,1,0,155.080,149.360,8095763797.333,8101514240.000,10,0
nodeinfo,30,1.000,5.282,5545984.000,1,0,env,40,1.000,5.062,4852224.000,1,0,151.440,152.710,8082825898.667,8100042410.667,10,0
nodeinfo,30,1.000,5.283,6332416.000,1,0,env,40,1.000,5.029,4923392.000,1,0,153.960,150.660,8098626218.667,8105829546.667,10,0
nodeinfo,30,1.000,5.086,85903018.667,1,0,env,40,1.000,5.575,4752384.000,1,0,155.080,150.700,8100123306.667,8108255573.333,10,0
nodeinfo,30,1.000,5.021,7610368.000,1,0,env,50,1.000,5.236,4936704.000,1,0,158.160,155.176,8095157589.333,8103831040.000,10,0
nodeinfo,30,1.000,5.322,85879637.333,1,0,env,50,1.000,6.091,5254144.000,1,0,155.640,155.387,8089339904.000,8102264661.333,10,0
nodeinfo,30,1.000,4.113,86042965.333,1,0,env,50,1.000,6.692,3904853.333,1,0,167.600,154.300,8108069546.667,8112738133.333,10,0
nodeinfo,40,1.000,6.749,85803008.000,1,0,env,0,1.000,2.298,3844608.000,1,0,157.960,141.790,8106022912.000,8103742805.333,10,0
nodeinfo,40,1.000,7.720,14635008.000,1,0,env,0,1.000,0.079,19456000.000,1,0,124.520,116.741,8068704256.000,8055276544.000,10,0
nodeinfo,40,1.000,9.364,16229717.333,1,0,env,0,1.000,0.072,19456512.000,1,0,129.920,136.880,8055778645.333,8076356266.667,10,0
nodeinfo,40,1.000,6.522,15011840.000,1,0,env,10,1.000,0.698,19468458.667,1,0,113.800,120.260,8057098240.000,8069565098.667,10,0
nodeinfo,40,1.000,7.324,85410474.667,1,0,env,10,1.000,0.984,4252160.000,1,0,136.120,136.940,8094986240.000,8103851690.667,10,0
nodeinfo,40,1.000,7.968,84912128.000,1,0,env,10,1.000,1.322,4219392.000,1,0,151.720,142.820,8086538922.667,8095556778.667,10,0
nodeinfo,40,1.000,8.519,5251072.000,1,0,env,20,1.000,2.496,3207168.000,1,0,145.720,147.640,8099747157.333,8109769386.667,10,0
nodeinfo,40,1.000,7.583,15592106.667,5,0,env,20,1.000,2.944,2727936.000,5,0,139.360,145.550,8113580032.000,8109625344.000,10,0
nodeinfo,40,1.000,5.839,10772480.000,5,0,env,20,1.000,2.548,2846720.000,5,0,145.560,144.500,8112493909.333,8101642581.333,10,0
nodeinfo,40,1.000,7.093,83966464.000,5,0,env,30,1.000,3.330,3775146.667,5,0,139.640,152.137,8110829568.000,8113353216.000,10,0
nodeinfo,40,1.000,7.771,5898240.000,5,0,env,30,1.000,4.722,4632064.000,5,0,147.120,163.970,8132295338.667,8123866453.333,10,0
nodeinfo,40,1.000,14.472,17102336.000,13,0,env,30,1.000,3.745,3129344.000,5,0,154.520,165.730,8126820352.000,8226504533.333,10,0
nodeinfo,40,1.000,12.470,26562048.000,17,1,env,40,1.000,3.595,3170304.000,9,0,159.480,160.780,8354050730.667,8423280298.667,10,1
nodeinfo,40,1.000,7.015,28296533.333,5,0,env,40,1.000,4.746,5689344.000,5,0,179.600,171.810,8575393792.000,8425371477.333,20,0
nodeinfo,40,1.000,9.162,85518848.000,9,0,env,40,1.000,5.438,5813760.000,9,0,176.840,151.270,8178569216.000,8238725290.667,10,0
nodeinfo,40,1.000,12.053,85268992.000,13,0,env,50,1.000,5.541,8928256.000,13,0,164.080,161.980,8364339200.000,8430214314.667,10,0
nodeinfo,40,1.000,12.903,84575744.000,17,1,env,50,1.000,8.686,5124096.000,17,1,172.240,184.640,8551875242.667,8639495509.333,10,1
nodeinfo,40,1.000,7.777,20578304.000,5,0,env,50,1.000,4.300,4226389.333,5,0,251.760,192.200,8749888853.333,8466999125.333,20,0
nodeinfo,50,1.000,8.908,13130752.000,9,0,env,0,1.000,3.010,3299840.000,1,0,190.360,167.570,8104192000.000,8160394581.333,10,0
nodeinfo,50,1.000,13.565,22693376.000,13,0,env,0,1.000,0.080,19079168.000,1,0,131.800,131.610,8227898026.667,8245541717.333,10,0
nodeinfo,50,1.000,16.726,28685824.000,17,1,env,0,1.000,0.074,19079168.000,1,0,131.480,135.920,8323827029.333,8383379285.333,10,1
