function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,50,1.000,7.094,3211264.000,5,0,env,30,1.000,2.894,2912256.000,5,0,nmap,20,0.198,89.412,156204919.467,1,1,183.000,190.545,13003684522.667,12967765742.933,10,1
figlet,50,1.000,6.203,2793472.000,5,0,env,40,1.000,2.301,2641920.000,5,0,nmap,0,1.000,54.729,93295274.667,1,0,173.320,150.220,12989134165.333,12869478741.333,10,0
figlet,50,1.000,10.038,5625173.333,9,0,env,40,1.000,5.365,3309568.000,9,0,nmap,0,1.000,0.189,56289962.667,1,0,128.840,131.170,12792875008.000,12836303872.000,10,0
figlet,50,1.000,9.912,9108480.000,13,0,env,40,1.000,5.339,5518336.000,13,0,nmap,0,1.000,0.239,56258560.000,1,0,147.560,134.860,12903959893.333,12955681109.333,10,0
figlet,50,1.000,8.573,9545216.000,17,1,env,40,1.000,5.785,8748032.000,17,1,nmap,10,1.000,40.431,62570154.667,1,0,154.120,182.410,13034496682.667,13112865962.667,10,1
figlet,50,0.153,5.737,4248064.000,1,1,env,40,1.000,4.542,3966464.000,5,0,nmap,10,0.137,44.890,4653226.667,1,1,221.200,197.042,13297411686.400,13474257237.333,20,1
figlet,50,1.000,8.315,48477866.667,1,0,env,40,1.000,4.268,2990080.000,1,0,nmap,10,0.937,72.534,3481600.000,1,0,215.610,214.975,13248515413.333,13088225962.667,10,0
figlet,50,1.000,7.797,47943168.000,1,0,env,50,1.000,5.271,2883584.000,1,0,nmap,0,1.000,26.129,89613824.000,1,0,213.320,179.020,13013940906.667,12993301504.000,10,0
figlet,50,1.000,9.907,48015360.000,1,0,env,50,1.000,5.577,4970496.000,1,0,nmap,0,1.000,0.207,54691157.333,1,0,169.840,152.480,12888139776.000,12885306538.667,10,0
figlet,50,1.000,9.545,4408832.000,1,0,env,50,1.000,5.896,4982784.000,1,0,nmap,0,1.000,0.206,54681600.000,1,0,163.480,171.670,12861154645.333,12919764480.000,10,0
figlet,50,1.000,8.315,48036352.000,5,0,env,50,1.000,5.422,5426176.000,5,0,nmap,10,1.000,70.920,78410752.000,5,0,185.840,182.209,12906973866.667,12904319658.667,10,0
figlet,50,1.000,6.987,47967232.000,13,0,env,50,1.000,4.296,3305472.000,5,0,nmap,10,0.967,53.500,102603776.000,1,0,197.240,199.081,12908413610.667,13010833408.000,10,0
figlet,50,0.870,5.829,2838528.000,5,1,env,50,1.000,4.777,2768896.000,5,0,nmap,10,0.807,54.472,116065792.000,5,1,325.150,251.163,13102181580.800,13163427805.867,20,1
