function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,10,1.000,2.201,5640192.000,1,0,shasum,50,1.000,5.431,4282880.000,1,0,150.280,139.330,9197032106.667,9217179648.000,10,0
nodeinfo,10,1.000,2.588,5300224.000,5,0,shasum,50,1.000,4.511,6328320.000,5,0,148.160,147.677,9213313024.000,9206227797.333,10,0
nodeinfo,10,1.000,3.205,5812224.000,5,0,shasum,50,1.000,6.040,19391146.667,5,0,157.000,156.350,9168065194.667,9189746346.667,10,0
nodeinfo,20,1.000,2.869,7942144.000,5,0,shasum,0,1.000,2.146,3707904.000,1,0,144.360,136.614,9190356992.000,9194978474.667,10,0
nodeinfo,20,1.000,4.481,7241728.000,5,0,shasum,0,1.000,0.080,19247104.000,1,0,114.880,109.740,9169935701.333,9160983381.333,10,0
nodeinfo,20,1.000,5.194,4358144.000,5,0,shasum,0,1.000,0.088,19247104.000,1,0,127.680,139.450,9182387541.333,9193992704.000,10,0
nodeinfo,20,1.000,2.875,7200768.000,5,0,shasum,10,1.000,1.047,19269290.667,5,0,100.840,111.370,9160259584.000,9158932138.667,10,0
nodeinfo,20,1.000,4.547,6987776.000,5,0,shasum,10,1.000,1.584,3780608.000,5,0,128.086,131.332,9169513130.667,9189842261.333,10,0
nodeinfo,20,1.000,4.958,5382144.000,5,0,shasum,10,1.000,1.281,4036096.000,5,0,135.120,136.500,9184772096.000,9193050112.000,10,0
nodeinfo,20,1.000,9.508,10730154.667,13,0,shasum,20,1.000,2.294,4114432.000,5,0,134.359,148.620,9184294912.000,9278574421.333,10,0
nodeinfo,20,1.000,8.323,23564288.000,17,1,shasum,20,1.000,2.876,4595712.000,9,0,152.400,147.480,9418255701.333,9498536448.000,10,1
nodeinfo,20,1.000,4.770,25886037.333,5,0,shasum,20,1.000,2.542,8074240.000,5,0,160.269,150.772,9664094208.000,9555087018.667,20,0
nodeinfo,20,1.000,5.810,16001024.000,9,0,shasum,30,1.000,3.507,5385216.000,9,0,164.520,140.200,9260315306.667,9310685184.000,10,0
nodeinfo,20,1.000,7.498,16872448.000,13,0,shasum,30,1.000,4.708,4602368.000,13,0,154.720,143.260,9416254805.333,9492172629.333,10,0
nodeinfo,20,1.000,9.045,25009664.000,17,1,shasum,30,1.000,4.928,4247552.000,17,1,161.800,153.681,9618285226.667,9703513941.333,10,1
nodeinfo,30,1.000,5.298,26928469.333,5,0,shasum,0,1.000,1.261,6950912.000,1,0,179.370,173.864,9825875285.333,9693948074.667,20,0
nodeinfo,30,1.000,9.059,18830336.000,9,0,shasum,0,1.000,0.074,19349504.000,1,0,170.320,131.932,9288241152.000,9288031402.667,10,0
nodeinfo,30,1.000,12.556,12363264.000,13,0,shasum,0,1.000,0.112,19350528.000,1,0,146.120,133.650,9354167637.333,9438816256.000,10,0
nodeinfo,30,1.000,5.074,23916544.000,5,0,shasum,10,1.000,1.160,19426816.000,1,0,124.070,139.250,9509800618.667,9431973034.667,20,0
nodeinfo,30,1.000,12.631,18454528.000,13,0,shasum,10,1.000,1.562,4089856.000,1,0,156.920,159.590,9210482688.000,9307484501.333,10,0
nodeinfo,30,1.000,5.096,26148181.333,1,0,shasum,10,1.000,1.151,3549696.000,1,0,169.560,148.396,9445678421.333,9395990528.000,20,0
nodeinfo,30,1.000,5.288,5754880.000,1,0,shasum,20,1.000,1.838,4416000.000,1,0,138.474,148.087,9140390570.667,9191390037.333,10,0
nodeinfo,30,1.000,8.188,13508608.000,1,0,shasum,20,1.000,3.074,4103168.000,1,0,164.040,154.250,9181698048.000,9205511850.667,10,0
