function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,100.944,100.944,11753469542.400,11753469542.400,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,138.320,138.320,11751699797.333,11751699797.333,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,cows,0,1.000,0.000,0.000,1,0,132.920,132.920,11721119061.333,11721119061.333,10,0
figlet,0,1.000,0.122,5826560.000,1,0,nodeinfo,0,1.000,0.182,21860352.000,1,0,cows,10,1.000,1.039,23682730.667,5,0,88.880,98.094,11689310208.000,11669777920.000,10,0
figlet,0,1.000,0.101,6179840.000,1,0,nodeinfo,0,1.000,0.153,22774442.667,1,0,cows,10,1.000,2.214,16172373.333,5,0,124.560,126.101,11711344640.000,11721110016.000,10,0
figlet,0,1.000,0.123,6433792.000,1,0,nodeinfo,0,1.000,0.127,23524864.000,1,0,cows,10,1.000,4.574,15432362.667,5,0,118.920,131.928,11728571733.333,11727479296.000,10,0
figlet,0,1.000,0.120,6796800.000,1,0,nodeinfo,0,1.000,0.129,24094720.000,1,0,cows,20,1.000,4.406,15287637.333,5,0,145.040,157.271,11728560128.000,11743337642.667,10,0
figlet,0,1.000,0.112,7141376.000,1,0,nodeinfo,0,1.000,0.194,24727552.000,1,0,cows,20,1.000,5.882,16164352.000,9,0,140.760,132.119,11719032149.333,11749331626.667,10,0
figlet,0,1.000,0.106,7366144.000,1,0,nodeinfo,0,1.000,0.155,25529173.333,1,0,cows,20,1.000,7.818,16633856.000,13,0,131.800,137.072,11814279850.667,11867677525.333,10,0
figlet,0,1.000,0.118,7681024.000,1,0,nodeinfo,0,1.000,0.164,25853440.000,1,0,cows,30,1.000,8.030,24485376.000,17,1,135.000,142.646,11942661461.333,11994810368.000,10,1
figlet,0,1.000,0.113,8063146.667,1,0,nodeinfo,0,1.000,0.168,25751210.667,1,0,cows,30,1.000,4.295,26692608.000,5,0,163.160,157.255,12100300800.000,11992324949.333,20,0
figlet,0,1.000,0.104,8282624.000,1,0,nodeinfo,0,1.000,0.155,25111552.000,1,0,cows,30,1.000,9.455,12613120.000,9,0,167.680,156.540,11763026602.667,11849899520.000,10,0
figlet,0,1.000,0.137,8615936.000,1,0,nodeinfo,0,1.000,0.154,25319424.000,1,0,cows,40,1.000,11.008,25273344.000,17,1,138.080,150.900,11924298410.667,11987340117.333,10,1
figlet,0,1.000,0.109,8738304.000,1,0,nodeinfo,0,1.000,0.152,25458176.000,1,0,cows,40,1.000,7.185,27877376.000,5,0,161.080,155.842,12092237824.000,11993134250.667,20,0
figlet,0,1.000,0.141,8772096.000,1,0,nodeinfo,0,1.000,0.156,25629184.000,1,0,cows,40,1.000,7.256,16147797.333,1,0,165.760,171.430,11759569578.667,11784105472.000,10,0
figlet,0,1.000,0.117,8798890.667,1,0,nodeinfo,0,1.000,0.143,25746944.000,1,0,cows,50,1.000,4.230,14503936.000,1,0,164.680,165.210,11717400576.000,11720429226.667,10,0
figlet,0,1.000,0.105,8814592.000,1,0,nodeinfo,0,1.000,0.158,25934848.000,1,0,cows,50,1.000,7.772,13099008.000,1,0,169.201,161.915,11700475221.333,11720772096.000,10,0
figlet,0,1.000,0.118,8836096.000,1,0,nodeinfo,0,1.000,0.158,26177024.000,1,0,cows,50,1.000,6.576,14952448.000,5,0,148.520,155.745,11705111893.333,11728069290.667,10,0
figlet,0,1.000,0.134,8897536.000,1,0,nodeinfo,10,1.000,2.650,27530240.000,5,0,cows,0,1.000,2.804,5935104.000,1,0,144.360,140.440,11726659584.000,11724001962.667,10,0
figlet,0,1.000,0.123,8909824.000,1,0,nodeinfo,10,1.000,4.839,15222101.333,1,0,cows,0,1.000,0.152,39656960.000,1,0,132.080,125.740,11731869696.000,11729680213.333,10,0
figlet,0,1.000,0.140,8926208.000,1,0,nodeinfo,10,1.000,5.287,16095232.000,1,0,cows,0,1.000,0.115,39748096.000,1,0,131.800,149.110,11718952960.000,11768174933.333,10,0
figlet,0,1.000,0.119,8985088.000,1,0,nodeinfo,10,1.000,2.761,5165056.000,1,0,cows,10,1.000,0.844,38934016.000,1,0,128.280,156.870,11724696234.667,11775486976.000,10,0
figlet,0,1.000,0.118,8995840.000,1,0,nodeinfo,10,1.000,2.394,20652032.000,1,0,cows,10,1.000,1.117,11075584.000,1,0,174.019,163.404,11744297642.667,11787323392.000,10,0
figlet,0,1.000,0.113,9012224.000,1,0,nodeinfo,10,1.000,2.483,8708096.000,1,0,cows,10,1.000,2.191,13795328.000,1,0,175.000,165.390,11740738218.667,11785331882.667,10,0
figlet,0,1.000,0.121,9079978.667,1,0,nodeinfo,10,1.000,2.226,8531968.000,1,0,cows,20,1.000,3.174,20127744.000,1,0,157.600,160.826,11733558613.333,11784719530.667,10,0
figlet,0,1.000,0.118,9080832.000,1,0,nodeinfo,10,1.000,2.802,6782976.000,5,0,cows,20,1.000,2.369,19628032.000,5,0,165.520,165.577,11795529045.333,11795551232.000,10,0
figlet,0,1.000,0.122,9080832.000,1,0,nodeinfo,10,1.000,3.416,20283392.000,5,0,cows,20,1.000,2.569,7110656.000,5,0,175.600,174.032,11782150144.000,11802969429.333,10,0
figlet,0,1.000,0.098,9080832.000,1,0,nodeinfo,10,1.000,2.418,5529600.000,5,0,cows,30,1.000,2.766,4079616.000,5,0,157.680,169.726,11819429888.000,11818593621.333,10,0
figlet,0,1.000,0.113,9082880.000,1,0,nodeinfo,10,1.000,3.521,20295680.000,5,0,cows,30,1.000,9.275,13674496.000,13,0,173.320,184.076,11810138112.000,11885506730.667,10,0
figlet,0,1.000,0.113,9097216.000,1,0,nodeinfo,10,1.000,2.494,8540160.000,1,0,cows,30,1.000,10.684,12280832.000,17,1,181.440,179.130,12027301205.333,12100076373.333,10,1
