function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,30,1.000,4.501,6324224.000,1,0,cows,10,1.000,1.096,3878912.000,1,0,nmap,0,1.000,0.172,48832512.000,1,0,123.000,122.280,5165516800.000,5165004800.000,10,0
nodeinfo,30,1.000,5.140,19572224.000,1,0,cows,10,1.000,3.593,15415978.667,1,0,nmap,10,1.000,39.173,75124736.000,1,0,139.720,187.993,5153669120.000,5294109184.000,10,0
nodeinfo,30,1.000,5.412,21254144.000,5,0,cows,10,1.000,1.544,20312064.000,5,0,nmap,10,1.000,76.953,6451200.000,5,0,209.084,206.133,5298591744.000,5282521429.333,10,0
nodeinfo,30,1.000,4.461,53016576.000,5,0,cows,10,1.000,0.831,6750208.000,5,0,nmap,10,1.000,45.066,3014656.000,5,0,201.960,205.411,5252455082.667,5234528597.333,10,0
nodeinfo,30,1.000,4.876,54124544.000,9,0,cows,10,1.000,1.236,5246976.000,1,0,nmap,20,0.158,76.664,3384524.800,1,1,200.056,202.933,5226668032.000,5322545288.533,10,1
nodeinfo,30,1.000,4.300,5722112.000,9,0,cows,10,1.000,0.883,20135936.000,9,0,nmap,20,0.337,95.518,3854336.000,1,1,215.343,209.964,5348528810.667,5304624196.267,10,1
nodeinfo,30,1.000,3.383,5382144.000,5,0,cows,10,1.000,1.879,19652608.000,5,0,nmap,20,0.193,99.318,2822144.000,1,1,213.720,215.957,5425816234.667,5444845431.467,10,1
nodeinfo,30,1.000,4.504,20054016.000,1,0,cows,20,1.000,2.057,10891264.000,1,0,nmap,0,1.000,41.853,66281472.000,1,0,214.219,157.005,5391912277.333,5255966037.333,10,0
nodeinfo,30,1.000,5.985,5058560.000,1,0,cows,20,1.000,1.490,20361216.000,1,0,nmap,0,1.000,0.201,49975296.000,1,0,118.640,129.930,5219618816.000,5216953344.000,10,0
nodeinfo,30,1.000,5.238,53348864.000,1,0,cows,20,1.000,2.164,7901184.000,1,0,nmap,0,1.000,0.181,49975296.000,1,0,132.360,127.520,5196462762.667,5204060501.333,10,0
nodeinfo,30,1.000,6.040,14030848.000,1,0,cows,20,1.000,4.279,13301760.000,1,0,nmap,10,1.000,28.978,57343488.000,1,0,130.160,169.309,5190494208.000,5242307242.667,10,0
nodeinfo,30,1.000,4.326,7733248.000,1,0,cows,20,1.000,1.808,7499776.000,1,0,nmap,10,1.000,58.072,2879488.000,1,0,195.160,198.592,5176206677.333,5239747925.333,10,0
nodeinfo,30,1.000,3.948,5472256.000,5,0,cows,20,1.000,2.249,5304320.000,5,0,nmap,10,1.000,68.661,4540416.000,5,0,211.548,202.388,5239797760.000,5251396183.771,10,0
nodeinfo,30,1.000,4.364,53886976.000,5,0,cows,20,1.000,1.944,11505664.000,5,0,nmap,20,0.150,46.881,2564096.000,1,1,191.927,203.894,5284435968.000,5374459904.000,10,1
nodeinfo,30,1.000,3.350,19922944.000,5,0,cows,20,1.000,2.324,5500928.000,5,0,nmap,20,0.218,91.268,145412505.600,1,1,212.454,209.765,5388318037.333,5343205102.933,10,1
nodeinfo,30,1.000,2.688,53509324.800,5,0,cows,20,1.000,1.099,7520256.000,5,0,nmap,20,0.305,105.199,142855918.933,1,1,206.720,200.407,5339599530.667,5313190161.067,10,1
nodeinfo,30,1.000,2.491,55267840.000,1,0,cows,30,1.000,3.419,5079040.000,1,0,nmap,0,1.000,52.073,62941696.000,1,0,187.032,140.838,5342565717.333,5228088832.000,10,0
nodeinfo,30,1.000,5.032,5246976.000,1,0,cows,30,0.997,3.791,5144576.000,1,0,nmap,0,1.000,0.173,50311168.000,1,0,139.040,137.950,5199912960.000,5195763200.000,10,0
nodeinfo,30,1.000,4.281,6041600.000,1,0,cows,30,1.000,3.753,6959104.000,1,0,nmap,0,1.000,0.161,50311168.000,1,0,137.840,138.600,5181816149.333,5187281920.000,10,0
nodeinfo,30,0.999,5.327,20937386.667,1,0,cows,30,1.000,3.608,8241152.000,1,0,nmap,10,1.000,37.314,52661760.000,1,0,135.240,171.919,5197513386.667,5217294848.000,10,0
nodeinfo,30,1.000,4.619,6176768.000,5,0,cows,30,1.000,2.803,5517312.000,5,0,nmap,10,1.000,56.590,5438464.000,5,0,210.207,208.423,5214087168.000,5252598784.000,10,0
nodeinfo,30,1.000,3.840,5931008.000,5,0,cows,30,1.000,3.185,8015872.000,5,0,nmap,10,1.000,66.864,4497408.000,5,0,194.800,201.731,5241666901.333,5264782165.333,10,0
nodeinfo,30,1.000,5.286,13391872.000,5,0,cows,30,1.000,2.265,7184384.000,5,0,nmap,20,0.177,66.290,3470950.400,1,1,209.421,208.212,5246145877.333,5343330713.600,10,1
nodeinfo,30,1.000,2.130,7610368.000,9,0,cows,30,1.000,1.162,3006464.000,9,0,nmap,20,0.272,94.656,129946009.600,1,1,197.480,197.502,5345895765.333,5304753766.400,10,1
nodeinfo,30,1.000,5.303,13297664.000,1,0,cows,30,1.000,2.520,9068544.000,1,0,nmap,20,0.145,96.667,2459648.000,1,1,203.320,212.136,5489414144.000,5467851616.711,10,1
nodeinfo,30,1.000,4.753,50479274.667,5,0,cows,40,1.000,3.150,7397376.000,5,0,nmap,0,1.000,27.195,70926848.000,1,0,205.240,159.584,5419629909.333,5274499925.333,10,0
nodeinfo,30,1.000,7.751,5279744.000,9,0,cows,40,1.000,7.871,19661824.000,9,0,nmap,0,1.000,0.205,52192256.000,1,0,146.400,136.950,5270173696.000,5344607061.333,10,0
nodeinfo,30,1.000,10.033,5877760.000,13,0,cows,40,1.000,9.323,28462080.000,13,0,nmap,0,1.000,0.324,52195840.000,1,0,153.960,146.400,5493080064.000,5584874496.000,10,0
nodeinfo,30,1.000,8.322,14528512.000,17,1,cows,40,1.000,8.778,28219733.333,17,1,nmap,10,0.243,2.295,58809344.000,1,1,189.520,191.439,5772916736.000,5958232576.000,10,1
nodeinfo,30,1.000,3.233,6017024.000,5,0,cows,40,1.000,2.697,26673152.000,5,0,nmap,10,1.000,43.662,57792512.000,5,0,228.560,225.530,5922553856.000,5551105365.333,20,0
nodeinfo,30,1.000,2.211,6082560.000,5,0,cows,40,1.000,3.627,11170816.000,5,0,nmap,10,0.967,51.155,3244032.000,1,0,221.693,215.418,5323322709.333,5451081898.667,10,0
nodeinfo,30,1.000,4.389,19890176.000,1,0,cows,50,1.000,4.416,16887808.000,1,0,nmap,0,1.000,21.898,2818048.000,1,0,227.190,231.454,5520070656.000,5489400490.667,10,0
nodeinfo,30,1.000,4.923,54138880.000,1,0,cows,50,1.000,5.443,20185088.000,1,0,nmap,0,1.000,0.166,43024384.000,1,0,171.880,165.930,5319079253.333,5308123477.333,10,0
nodeinfo,30,1.000,4.804,5136384.000,1,0,cows,50,1.000,5.382,5591040.000,1,0,nmap,0,1.000,0.211,43034282.667,1,0,181.200,190.180,5311776085.333,5375448064.000,10,0
nodeinfo,30,1.000,6.448,15791616.000,1,0,cows,50,1.000,5.408,8646656.000,1,0,nmap,10,1.000,46.878,69658624.000,1,0,155.760,186.470,5317840213.333,5385131861.333,10,0
nodeinfo,30,1.000,4.080,3956736.000,1,0,cows,50,1.000,3.686,5468160.000,1,0,nmap,10,1.000,62.380,6375424.000,1,0,233.513,223.510,5371284138.667,5389598549.333,10,0
nodeinfo,30,1.000,5.516,13582336.000,1,0,cows,50,1.000,3.515,5709824.000,1,0,nmap,10,1.000,66.010,4669440.000,1,0,216.924,200.813,5341164202.667,5384423765.333,10,0
nodeinfo,30,1.000,4.500,20664320.000,5,0,cows,50,1.000,4.491,5844992.000,5,0,nmap,20,0.205,71.482,6313984.000,1,1,191.080,200.661,5391308800.000,5468969233.067,10,1
nodeinfo,30,1.000,2.936,54532642.133,5,0,cows,50,1.000,2.666,11141120.000,5,0,nmap,20,0.390,102.664,134105497.600,5,1,194.038,196.038,5455893845.333,5408368093.867,10,1
nodeinfo,30,1.000,3.510,20238336.000,5,0,cows,50,1.000,3.337,6172672.000,5,0,nmap,20,0.178,88.587,3260416.000,1,1,214.960,214.121,5437658453.333,5474982707.200,10,1
nodeinfo,40,1.000,5.629,13668352.000,1,0,cows,0,1.000,0.087,6991872.000,1,0,nmap,0,1.000,31.507,66027520.000,1,0,200.600,133.300,5474760021.333,5338288810.667,10,0
nodeinfo,40,1.000,6.947,5304320.000,1,0,cows,0,1.000,0.096,55549952.000,1,0,nmap,0,1.000,0.177,49926144.000,1,0,93.800,100.650,5263179093.333,5258774016.000,10,0
nodeinfo,40,1.000,7.361,56572416.000,1,0,cows,0,1.000,0.087,55636992.000,1,0,nmap,0,1.000,0.189,49926144.000,1,0,92.440,94.170,5243108010.667,5245007189.333,10,0
nodeinfo,40,1.000,6.215,56534016.000,1,0,cows,0,1.000,0.086,55511552.000,1,0,nmap,10,1.000,38.388,52955136.000,1,0,103.000,141.110,5246107648.000,5253388117.333,10,0
nodeinfo,40,1.000,5.507,6004736.000,1,0,cows,0,1.000,0.086,54284800.000,1,0,nmap,10,1.000,56.626,6170624.000,1,0,171.600,179.389,5264028330.667,5287811754.667,10,0
nodeinfo,40,1.000,5.384,5681152.000,5,0,cows,0,1.000,0.077,54312960.000,1,0,nmap,10,1.000,69.164,2912256.000,5,0,197.680,202.525,5290958165.333,5337651370.667,10,0
nodeinfo,40,1.000,5.633,6156288.000,9,0,cows,0,1.000,0.089,54194176.000,1,0,nmap,20,0.270,86.528,3280896.000,1,1,176.400,189.014,5296670037.333,5350371464.533,10,1
nodeinfo,40,1.000,4.637,5648384.000,5,0,cows,0,1.000,0.081,53892710.400,1,0,nmap,20,0.285,116.695,2990080.000,1,1,201.067,205.999,5417256277.333,5372456823.467,10,1
nodeinfo,40,1.000,3.629,63331942.400,5,0,cows,0,1.000,0.081,53900902.400,1,0,nmap,20,0.237,108.872,124562363.733,1,1,207.720,200.362,5349094741.333,5337765751.467,10,1
nodeinfo,40,1.000,7.087,6123520.000,5,0,cows,10,1.000,1.003,4984832.000,5,0,nmap,0,1.000,28.575,62482944.000,1,0,179.200,135.900,5308921856.000,5261597354.667,10,0
nodeinfo,40,1.000,11.635,5550080.000,13,0,cows,10,1.000,1.941,4984832.000,5,0,nmap,0,1.000,0.203,49808384.000,1,0,135.600,146.140,5310221653.333,5380973397.333,10,0
nodeinfo,40,1.000,13.835,8780458.667,17,1,cows,10,1.000,1.288,5758976.000,1,0,nmap,0,1.000,0.191,49799168.000,1,0,153.200,149.540,5536834218.667,5620376746.667,10,1
nodeinfo,50,1.000,7.662,23618218.667,5,0,cows,0,1.000,1.066,10735616.000,1,0,nmap,0,1.000,0.223,49559210.667,1,0,159.360,162.805,5739798528.000,5579078144.000,20,0
nodeinfo,50,1.000,13.147,5443584.000,9,0,cows,0,1.000,0.101,53353301.333,1,0,nmap,0,1.000,0.173,49496064.000,1,0,129.280,116.200,5302021461.333,5344222720.000,10,0
nodeinfo,50,1.000,16.556,12116992.000,13,0,cows,0,1.000,0.108,53018112.000,1,0,nmap,0,1.000,0.285,49497600.000,1,0,158.480,136.570,5455153834.667,5538778453.333,10,0
nodeinfo,50,1.000,8.088,25703765.333,5,0,cows,0,1.000,0.098,53091328.000,1,0,nmap,10,1.000,50.287,59290965.333,1,0,134.280,162.063,5629516458.667,5493187754.667,20,0
nodeinfo,50,1.000,9.422,15754581.333,1,0,cows,0,1.000,0.099,52898816.000,1,0,nmap,10,1.000,77.776,7020544.000,1,0,198.560,196.673,5397374976.000,5428133034.667,10,0
nodeinfo,50,1.000,6.095,5709824.000,1,0,cows,0,1.000,0.091,51992576.000,1,0,nmap,10,1.000,68.611,3188053.333,1,0,208.240,207.149,5364374869.333,5426385237.333,10,0
nodeinfo,50,1.000,5.736,62720819.200,9,0,cows,0,1.000,0.095,52063436.800,1,0,nmap,20,0.288,64.651,3444736.000,1,1,252.840,229.141,5382280533.333,5424181248.000,10,1
nodeinfo,50,1.000,5.954,4456448.000,5,0,cows,0,1.000,0.102,52195737.600,1,0,nmap,20,0.197,99.811,2904064.000,1,1,211.385,206.718,5499853482.667,5475593830.400,10,1
nodeinfo,50,1.000,4.480,61502668.800,5,0,cows,0,1.000,0.083,52226048.000,1,0,nmap,20,0.432,95.155,92000256.000,5,1,195.723,196.860,5450161493.333,5401208149.333,10,1
nodeinfo,50,1.000,7.349,61462357.333,1,0,cows,10,1.000,0.899,53224789.333,1,0,nmap,0,1.000,46.238,2998272.000,1,0,206.957,166.710,5428978346.667,5368485376.000,10,0
nodeinfo,50,1.000,7.527,7057408.000,1,0,cows,10,1.000,1.398,7163904.000,1,0,nmap,0,1.000,0.189,49238016.000,1,0,147.720,145.600,5349926229.333,5346348544.000,10,0
nodeinfo,50,1.000,7.879,5378048.000,5,0,cows,10,1.000,1.429,7430144.000,5,0,nmap,0,1.000,0.248,49238016.000,1,0,134.760,141.940,5355511808.000,5332196181.333,10,0
nodeinfo,50,1.000,7.812,18563072.000,5,0,cows,10,1.000,1.835,20495018.667,5,0,nmap,10,1.000,29.785,64022016.000,5,0,140.840,174.368,5365519018.667,5372220928.000,10,0
nodeinfo,50,0.992,11.347,9510912.000,9,0,cows,10,1.000,1.332,6000640.000,1,0,nmap,10,0.970,64.962,91230208.000,1,0,208.200,206.645,5378109440.000,5492460373.333,10,0
nodeinfo,50,1.000,9.705,19841024.000,1,0,cows,10,1.000,2.938,12295168.000,1,0,nmap,10,0.800,68.549,6119424.000,1,1,211.120,210.967,5648986794.667,5739767978.667,10,1
nodeinfo,50,1.000,7.900,64421888.000,1,0,cows,20,1.000,1.633,5206016.000,1,0,nmap,0,1.000,23.919,5795840.000,1,0,220.058,210.684,5614877354.667,5485076650.667,10,0
nodeinfo,50,1.000,8.096,13643776.000,1,0,cows,20,1.000,2.233,6811648.000,1,0,nmap,0,1.000,0.205,48422912.000,1,0,172.760,155.003,5384763392.000,5387638954.667,10,0
nodeinfo,50,1.000,9.937,5042176.000,1,0,cows,20,1.000,2.835,5025792.000,1,0,nmap,0,1.000,0.191,48422912.000,1,0,163.920,182.670,5406782122.667,5448897706.667,10,0
nodeinfo,50,1.000,7.767,7671808.000,5,0,cows,20,1.000,2.479,5324800.000,5,0,nmap,10,1.000,50.888,53895680.000,5,0,143.680,175.389,5438483114.667,5425737728.000,10,0
nodeinfo,50,1.000,7.894,5083136.000,5,0,cows,20,1.000,2.866,7876608.000,5,0,nmap,10,1.000,45.339,3244032.000,1,0,210.528,209.245,5427518122.667,5465063082.667,10,0
nodeinfo,50,1.000,10.830,23542784.000,17,1,cows,20,1.000,6.293,7918250.667,5,0,nmap,10,0.430,48.203,6153728.000,1,1,220.880,216.390,5463962965.333,5682841600.000,10,1
nodeinfo,50,1.000,6.412,6848512.000,5,0,cows,30,1.000,1.700,20983808.000,5,0,nmap,0,1.000,9.956,11616256.000,1,0,221.080,190.630,5912156842.667,5523349333.333,20,0
nodeinfo,50,1.000,6.462,5132288.000,5,0,cows,30,1.000,3.401,4296704.000,5,0,nmap,0,1.000,0.185,43062784.000,1,0,150.840,144.910,5442325162.667,5405857621.333,10,0
nodeinfo,50,1.000,11.783,5427200.000,9,0,cows,30,1.000,6.553,17908736.000,9,0,nmap,0,1.000,0.228,43096576.000,1,0,156.120,147.860,5428992000.000,5514938197.333,10,0
nodeinfo,50,1.000,14.284,16538112.000,13,0,cows,30,1.000,6.668,27609429.333,13,0,nmap,10,0.990,68.583,59712170.667,5,0,158.400,176.767,5672003584.000,5762153301.333,10,0
