function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,40,1.000,8.162,20213760.000,5,0,nmap,0,1.000,0.188,50810880.000,1,0,curl,50,1.000,31.321,4147882.667,13,0,176.720,187.816,5666470570.667,5717729792.000,10,0
nodeinfo,40,1.000,8.466,18160128.000,9,0,nmap,0,1.000,0.181,50807296.000,1,0,curl,50,1.000,32.109,5832362.667,17,1,182.680,181.770,5822074880.000,5898303317.333,10,1
nodeinfo,40,1.000,4.608,30134272.000,5,0,nmap,10,1.000,26.309,61962752.000,1,0,curl,0,1.000,3.534,10189482.667,1,0,204.240,184.400,6032014677.333,5957733717.333,20,0
nodeinfo,40,1.000,3.714,19881984.000,1,0,nmap,10,1.000,54.130,5958656.000,1,0,curl,0,1.000,0.139,44654592.000,1,0,207.280,207.980,5716773546.667,5747770026.667,10,0
nodeinfo,40,1.000,5.633,5234688.000,1,0,nmap,10,1.000,41.691,10366976.000,1,0,curl,0,1.000,0.196,44654592.000,1,0,185.307,187.687,5677539328.000,5696530944.000,10,0
nodeinfo,40,1.000,5.145,5484544.000,1,0,nmap,10,1.000,71.904,5143552.000,1,0,curl,10,1.000,3.140,46152192.000,1,0,194.214,189.709,5678582442.667,5691821738.667,10,0
nodeinfo,40,1.000,2.776,6098944.000,5,0,nmap,10,1.000,54.194,3137536.000,5,0,curl,10,1.000,7.153,46958080.000,5,0,213.640,202.745,5716290901.333,5741112115.200,10,0
nodeinfo,40,1.000,5.067,21884928.000,5,0,nmap,10,1.000,34.592,3235840.000,5,0,curl,10,1.000,5.676,3991552.000,5,0,203.240,205.398,5733548714.667,5753705984.000,10,0
nodeinfo,40,1.000,8.487,12728320.000,13,0,nmap,10,0.660,67.982,3097088.000,1,1,curl,20,1.000,8.443,48474112.000,5,0,208.120,204.001,5721380864.000,5853771605.333,10,1
nodeinfo,40,1.000,4.566,17133568.000,5,0,nmap,10,0.743,55.078,3084288.000,5,1,curl,20,1.000,9.533,3092480.000,5,0,222.040,225.736,6005068458.667,6007641429.333,20,1
nodeinfo,40,1.000,5.028,7106560.000,5,0,nmap,10,0.757,70.139,3174400.000,1,1,curl,20,1.000,10.184,50385920.000,5,0,219.445,218.873,5965611008.000,5929044309.333,10,1
nodeinfo,40,1.000,3.575,19628851.200,1,0,nmap,20,0.128,86.337,2646016.000,1,1,curl,0,1.000,2.074,3072000.000,1,0,222.782,219.743,5903168170.667,6069692871.111,10,1
nodeinfo,40,1.000,4.683,17768448.000,5,0,nmap,20,0.140,98.019,2646016.000,1,1,curl,0,1.000,0.229,3072000.000,1,0,221.619,217.971,6168933717.333,5958249267.200,10,1
nodeinfo,40,1.000,4.706,4186112.000,9,0,nmap,20,0.290,99.731,139479859.200,1,1,curl,0,1.000,0.172,44525568.000,1,0,180.160,190.880,5755495765.333,5769220096.000,10,1
nodeinfo,50,1.000,7.184,20512768.000,1,0,nmap,0,1.000,29.788,2785280.000,1,0,curl,0,1.000,0.175,44527616.000,1,0,197.264,152.449,5825672533.333,5708400469.333,10,0
nodeinfo,50,1.000,7.527,5804032.000,1,0,nmap,0,1.000,0.173,53596160.000,1,0,curl,0,1.000,0.176,44527616.000,1,0,127.000,137.950,5634080085.333,5650541056.000,10,0
nodeinfo,50,1.000,8.703,16265728.000,1,0,nmap,0,1.000,0.308,53596160.000,1,0,curl,0,1.000,0.169,44561066.667,1,0,113.080,114.960,5615377749.333,5609789440.000,10,0
nodeinfo,50,1.000,7.984,4923392.000,1,0,nmap,0,1.000,0.252,53596160.000,1,0,curl,10,1.000,4.850,46471168.000,1,0,129.440,149.220,5607568042.667,5627739818.667,10,0
nodeinfo,50,1.000,7.712,7331840.000,1,0,nmap,0,1.000,0.187,53596160.000,1,0,curl,10,1.000,6.479,47602688.000,1,0,152.680,171.580,5625034752.000,5640720384.000,10,0
nodeinfo,50,1.000,8.243,19886080.000,5,0,nmap,0,1.000,0.221,53596160.000,1,0,curl,10,1.000,6.944,2785280.000,5,0,179.480,161.730,5619693158.400,5629768362.667,10,0
nodeinfo,50,1.000,7.446,5128192.000,5,0,nmap,0,1.000,0.195,53596160.000,1,0,curl,20,1.000,8.662,5260800.000,5,0,133.080,153.051,5635202389.333,5631038293.333,10,0
nodeinfo,50,1.000,8.714,5246976.000,5,0,nmap,0,1.000,0.198,53606400.000,1,0,curl,20,1.000,12.407,5438976.000,5,0,149.840,157.479,5646588586.667,5646163456.000,10,0
nodeinfo,50,1.000,13.233,16515584.000,9,0,nmap,0,1.000,0.174,53596160.000,1,0,curl,20,1.000,12.950,47244800.000,9,0,151.880,172.140,5660568917.333,5784647680.000,10,0
nodeinfo,50,0.999,14.400,10163541.333,13,0,nmap,0,1.000,0.206,53596160.000,1,0,curl,30,1.000,16.633,46329856.000,13,0,141.080,166.540,5940355072.000,6021697194.667,10,0
nodeinfo,50,1.000,6.731,6950912.000,5,0,nmap,0,1.000,0.204,48441344.000,1,0,curl,30,1.000,13.429,50123264.000,1,0,204.840,203.970,6192814080.000,6030235136.000,20,0
nodeinfo,50,1.000,9.309,6176768.000,1,0,nmap,0,1.000,0.182,47616000.000,1,0,curl,30,1.000,20.839,5851136.000,1,0,205.480,191.897,5723817301.333,5730047488.000,10,0
nodeinfo,50,1.000,5.677,7360512.000,1,0,nmap,0,1.000,0.190,47616000.000,1,0,curl,40,1.000,17.607,7753728.000,1,0,170.560,180.690,5659256149.333,5670154581.333,10,0
nodeinfo,50,1.000,7.856,5488640.000,1,0,nmap,0,1.000,0.193,47616000.000,1,0,curl,40,1.000,20.591,5439488.000,1,0,199.760,213.084,5671887530.667,5730541397.333,10,0
nodeinfo,50,1.000,8.047,5349376.000,1,0,nmap,0,1.000,0.198,47616000.000,1,0,curl,40,1.000,21.931,50424832.000,1,0,210.769,195.032,5671219882.667,5680609621.333,10,0
nodeinfo,50,1.000,6.694,5840896.000,5,0,nmap,0,1.000,0.189,47616000.000,1,0,curl,50,1.000,27.765,54516053.333,5,0,187.400,190.130,5662448844.800,5677424640.000,10,0
nodeinfo,50,1.000,7.196,5373952.000,5,0,nmap,0,1.000,0.179,47616000.000,1,0,curl,50,1.000,38.566,58850304.000,5,0,188.440,187.380,5689208149.333,5684322645.333,10,0
nodeinfo,50,1.000,9.464,17917440.000,9,0,nmap,0,1.000,0.217,47616000.000,1,0,curl,50,1.000,24.984,45713408.000,9,0,181.600,180.450,5681836032.000,5762676224.000,10,0
nodeinfo,50,1.000,8.473,19394048.000,17,1,nmap,10,1.000,30.104,68278272.000,1,0,curl,0,1.000,10.654,3698176.000,1,0,191.800,192.009,5891490474.667,6034767360.000,10,1
nodeinfo,50,1.000,6.377,5992448.000,1,0,nmap,10,1.000,22.629,3310933.333,1,0,curl,0,1.000,0.192,0.000,1,0,219.813,211.765,6203597482.667,5886519808.000,20,0
nodeinfo,50,1.000,5.491,6725632.000,1,0,nmap,10,1.000,75.458,5916672.000,1,0,curl,0,1.000,0.170,42926080.000,1,0,195.177,192.774,5693936298.667,5707977216.000,10,0
nodeinfo,50,1.000,8.033,13875200.000,1,0,nmap,10,1.000,46.663,5123584.000,1,0,curl,10,1.000,5.058,45169664.000,1,0,186.000,191.394,5690655402.667,5725815296.000,10,0
nodeinfo,50,1.000,5.811,5472256.000,5,0,nmap,10,0.993,48.013,5658624.000,5,0,curl,10,1.000,6.242,45629781.333,5,0,207.160,204.333,5744692565.333,5789959680.000,10,0
nodeinfo,50,1.000,5.733,5939200.000,5,0,nmap,10,1.000,40.707,3127296.000,5,0,curl,10,1.000,5.468,45896021.333,5,0,211.120,207.959,5767645184.000,5782855168.000,10,0
nodeinfo,50,1.000,10.503,6746112.000,13,0,nmap,10,0.500,59.594,3203584.000,1,1,curl,20,1.000,8.969,48752640.000,5,0,208.800,206.298,5748012373.333,5874730666.667,10,1
nodeinfo,50,1.000,6.255,5873664.000,5,0,nmap,10,0.403,51.252,3104768.000,5,1,curl,20,1.000,8.930,2639872.000,5,0,217.200,220.842,6012205738.667,6027940010.667,20,1
nodeinfo,50,1.000,3.735,8835072.000,1,0,nmap,10,0.623,51.611,3182592.000,1,1,curl,20,1.000,8.157,2722816.000,1,0,219.388,222.802,5972796074.667,5955712000.000,10,1
nodeinfo,50,1.000,7.164,8835072.000,1,0,nmap,20,0.147,51.666,2813952.000,1,1,curl,0,1.000,1.196,2564096.000,1,0,232.571,221.434,6046029141.333,6094926961.778,10,1
nodeinfo,50,1.000,4.470,19890176.000,5,0,nmap,20,0.185,83.940,2813952.000,1,1,curl,0,1.000,0.202,2854912.000,1,0,215.617,208.532,6123165013.333,5951911253.333,10,1
nodeinfo,50,1.000,3.354,4284416.000,9,0,nmap,20,0.395,48.643,118571417.600,1,1,curl,0,1.000,0.188,43221674.667,1,0,171.143,187.416,5838316885.333,5824378197.333,10,1
