function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,70.600,70.600,10172491776.000,10172491776.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,74.840,74.840,10171422720.000,10171422720.000,10,0
figlet,0,1.000,0.000,0.000,1,0,nodeinfo,0,1.000,0.000,0.000,1,0,shasum,0,1.000,0.000,0.000,1,0,73.520,73.520,10169230677.333,10169230677.333,10,0
figlet,0,1.000,0.110,13496320.000,1,0,nodeinfo,0,1.000,0.149,41385984.000,1,0,shasum,10,1.000,1.089,14369621.333,1,0,72.880,76.880,10164771498.667,10162131114.667,10,0
figlet,0,1.000,0.086,14026752.000,1,0,nodeinfo,0,1.000,0.156,42049024.000,1,0,shasum,10,1.000,1.891,4489216.000,5,0,119.960,128.650,10187156138.667,10208064000.000,10,0
figlet,0,1.000,0.108,14370816.000,1,0,nodeinfo,0,1.000,0.155,42479616.000,1,0,shasum,10,1.000,1.192,3022848.000,5,0,119.560,111.420,10177369429.333,10184800256.000,10,0
figlet,0,1.000,0.104,14671360.000,1,0,nodeinfo,0,1.000,0.154,43227648.000,1,0,shasum,20,1.000,2.797,4425728.000,5,0,136.720,123.220,10211977898.667,10234638165.333,10,0
figlet,0,1.000,0.102,14939818.667,1,0,nodeinfo,0,1.000,0.121,44063744.000,1,0,shasum,20,1.000,2.382,2949120.000,5,0,128.360,118.180,10207013546.667,10177981098.667,10,0
figlet,0,1.000,0.102,15159808.000,1,0,nodeinfo,0,1.000,0.127,44758528.000,1,0,shasum,20,1.000,3.444,4836010.667,5,0,112.858,112.224,10153104725.333,10154121898.667,10,0
figlet,0,1.000,0.102,15459840.000,1,0,nodeinfo,0,1.000,0.116,45124096.000,1,0,shasum,30,1.000,2.545,3790165.333,5,0,110.720,121.280,10138854741.333,10153846442.667,10,0
