function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.101,8843264.000,1,0,nodeinfo,10,1.000,3.276,7417856.000,5,0,env,20,1.000,3.106,11087360.000,13,0,143.800,155.040,10319011840.000,10361561429.333,10,0
figlet,0,1.000,0.100,8876032.000,1,0,nodeinfo,10,1.000,2.580,5627904.000,1,0,env,20,1.000,4.018,10997760.000,17,1,153.960,150.200,10452844544.000,10508410538.667,10,1
figlet,0,1.000,0.106,8851456.000,1,0,nodeinfo,20,1.000,2.371,8458240.000,5,0,env,0,1.000,1.079,3641344.000,1,0,136.680,164.989,10537564842.667,10579375786.667,20,0
figlet,0,1.000,0.097,8934400.000,1,0,nodeinfo,20,1.000,7.367,7716864.000,9,0,env,0,1.000,0.095,11001856.000,1,0,172.807,139.992,10409122474.667,10403839488.000,10,0
figlet,0,1.000,0.115,8851456.000,1,0,nodeinfo,20,1.000,8.142,7524352.000,1,0,env,0,1.000,0.106,11061248.000,1,0,153.720,146.556,10483090773.333,10516369237.333,10,0
figlet,0,1.000,0.095,8851456.000,1,0,nodeinfo,20,1.000,5.380,14368768.000,1,0,env,10,1.000,1.114,11023872.000,1,0,162.960,134.050,10373387605.333,10367737685.333,10,0
figlet,0,1.000,0.108,8854016.000,1,0,nodeinfo,20,1.000,4.135,8241152.000,1,0,env,10,1.000,1.652,4284416.000,1,0,131.682,148.170,10331957248.000,10380540416.000,10,0
figlet,0,1.000,0.091,8855552.000,1,0,nodeinfo,20,1.000,4.135,8220672.000,1,0,env,10,1.000,1.612,3999232.000,1,0,150.539,146.524,10365674837.333,10391568896.000,10,0
figlet,0,1.000,0.106,8858624.000,1,0,nodeinfo,20,1.000,4.512,11571200.000,1,0,env,20,1.000,2.181,5455872.000,1,0,163.080,148.717,10363064320.000,10391881386.667,10,0
figlet,0,1.000,0.128,8859648.000,1,0,nodeinfo,20,1.000,3.259,7290880.000,1,0,env,20,1.000,3.195,11046229.333,1,0,155.520,153.771,10374186325.333,10397877077.333,10,0
figlet,0,1.000,0.086,8859648.000,1,0,nodeinfo,20,1.000,4.539,8699904.000,1,0,env,20,1.000,3.079,11037696.000,1,0,154.823,146.846,10373655893.333,10400646997.333,10,0
figlet,0,1.000,0.101,8862720.000,1,0,nodeinfo,20,1.000,3.326,8790016.000,1,0,env,30,1.000,4.145,11064320.000,1,0,168.040,157.603,10370943658.667,10396065280.000,10,0
figlet,0,1.000,0.108,8863744.000,1,0,nodeinfo,20,1.000,3.135,6217728.000,1,0,env,30,1.000,4.990,11119104.000,1,0,161.040,162.340,10364403029.333,10390576810.667,10,0
figlet,0,1.000,0.093,8868864.000,1,0,nodeinfo,20,1.000,3.954,7098368.000,1,0,env,30,1.000,5.138,4009984.000,1,0,166.480,152.390,10363566080.000,10393089024.000,10,0
figlet,0,1.000,0.101,8890709.333,1,0,nodeinfo,20,1.000,3.267,19005440.000,1,0,env,40,1.000,4.649,11056640.000,1,0,170.080,159.780,10374542677.333,10401362432.000,10,0
figlet,0,1.000,0.096,8892416.000,1,0,nodeinfo,20,1.000,4.079,5689344.000,1,0,env,40,1.000,5.865,4552704.000,1,0,165.840,164.580,10370652160.000,10398641152.000,10,0
figlet,0,1.000,0.095,8892416.000,1,0,nodeinfo,20,1.000,4.514,7454720.000,1,0,env,40,1.000,6.437,6549504.000,1,0,169.614,154.473,10381088085.333,10402186752.000,10,0
figlet,0,1.000,0.099,8897024.000,1,0,nodeinfo,20,1.000,4.451,5591040.000,5,0,env,50,1.000,5.455,6307840.000,5,0,175.600,164.607,10400120832.000,10416512512.000,10,0
