function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,10,1.000,1.255,3957760.000,5,0,cows,20,1.000,2.505,19845120.000,5,0,curl,20,1.000,13.712,5173248.000,5,0,187.840,178.040,7084696234.667,7084156928.000,10,0
shasum,10,1.000,1.810,3676160.000,5,0,cows,20,1.000,2.189,5369856.000,5,0,curl,20,1.000,13.865,2805760.000,5,0,186.960,188.570,7072038912.000,7076791637.333,10,0
shasum,10,1.000,0.861,3502080.000,5,0,cows,20,1.000,4.333,15643136.000,13,0,curl,30,1.000,16.733,7879168.000,13,0,182.600,205.500,7072683349.333,7237709482.667,10,0
shasum,10,1.000,1.954,3420160.000,1,0,cows,20,1.000,6.138,24473088.000,1,0,curl,30,1.000,20.924,11560448.000,1,0,258.640,253.429,7486201173.333,7545432234.667,10,0
shasum,10,1.000,1.403,3420160.000,1,0,cows,20,1.000,2.837,21905408.000,1,0,curl,30,1.000,17.144,11264000.000,1,0,240.080,242.349,7202712917.333,7095593984.000,10,0
shasum,10,1.000,1.348,3802624.000,1,0,cows,20,1.000,2.101,18776064.000,1,0,curl,40,1.000,21.237,5194240.000,1,0,218.840,205.760,6993732949.333,7012140885.333,10,0
shasum,10,1.000,1.436,5074944.000,1,0,cows,20,1.000,2.458,19836928.000,1,0,curl,40,1.000,26.815,8744960.000,1,0,206.880,197.291,6987743914.667,7004829184.000,10,0
shasum,10,1.000,1.312,3694592.000,5,0,cows,20,1.000,2.356,5881856.000,5,0,curl,40,1.000,29.747,5195776.000,5,0,213.760,200.918,6981091328.000,7000282965.333,10,0
shasum,10,1.000,1.091,3848192.000,5,0,cows,20,1.000,2.335,18939904.000,5,0,curl,50,1.000,26.102,4741120.000,5,0,196.280,202.900,6996033536.000,7015508138.667,10,0
shasum,10,1.000,1.380,3219456.000,5,0,cows,20,1.000,2.571,6303744.000,5,0,curl,50,1.000,31.582,5349376.000,13,0,202.000,202.050,7035525802.667,7080537600.000,10,0
shasum,10,1.000,1.644,2859008.000,1,0,cows,20,1.000,5.984,13459968.000,9,0,curl,50,1.000,27.849,10396672.000,17,1,211.209,214.042,7166175914.667,7314872320.000,10,1
shasum,10,1.000,1.179,3582634.667,1,0,cows,30,1.000,2.813,24864768.000,1,0,curl,0,1.000,2.682,3884373.333,1,0,211.400,192.670,7529800362.667,7322261504.000,20,0
shasum,10,1.000,1.591,4008960.000,1,0,cows,30,1.000,3.012,4386816.000,1,0,curl,0,1.000,0.169,33370112.000,1,0,158.160,147.050,6983453354.667,6998780416.000,10,0
shasum,10,1.000,1.238,5283840.000,1,0,cows,30,1.000,4.039,7221248.000,1,0,curl,0,1.000,0.193,33382400.000,1,0,137.480,129.740,6990024704.000,6998334293.333,10,0
shasum,10,1.000,1.333,4177920.000,1,0,cows,30,1.000,3.151,5763072.000,1,0,curl,10,1.000,4.348,34159616.000,1,0,136.600,141.055,6990206293.333,6992017749.333,10,0
shasum,10,1.000,1.469,3741696.000,1,0,cows,30,1.000,3.149,13361152.000,1,0,curl,10,1.000,7.739,4483584.000,1,0,163.720,165.390,6989698389.333,7014012245.333,10,0
shasum,10,1.000,0.768,3699200.000,5,0,cows,30,1.000,2.962,9019392.000,5,0,curl,10,1.000,6.766,4626432.000,5,0,179.600,164.540,6991464448.000,7009939114.667,10,0
shasum,10,1.000,1.272,3674112.000,5,0,cows,30,1.000,3.157,7712768.000,5,0,curl,20,1.000,10.660,4737024.000,5,0,166.560,179.580,6997851477.333,7018877952.000,10,0
shasum,10,1.000,1.425,3880960.000,5,0,cows,30,1.000,3.448,5836800.000,5,0,curl,20,1.000,13.618,4509696.000,5,0,188.767,195.078,7039722837.333,7047211690.667,10,0
shasum,10,1.000,1.431,4292608.000,1,0,cows,30,1.000,7.490,16385536.000,9,0,curl,20,1.000,12.758,4160170.667,9,0,184.640,181.860,7045421738.667,7182325930.667,10,0
shasum,10,1.000,1.549,4104704.000,1,0,cows,30,1.000,8.581,26071040.000,17,1,curl,30,1.000,11.883,8804864.000,1,0,182.280,216.710,7352884565.333,7476687360.000,10,1
shasum,10,1.000,1.487,4323840.000,1,0,cows,30,1.000,3.645,8736768.000,1,0,curl,30,1.000,16.071,3764224.000,1,0,228.520,225.181,7545385642.667,7236932949.333,20,0
shasum,10,1.000,1.169,3084288.000,1,0,cows,30,1.000,2.626,18456576.000,1,0,curl,30,1.000,15.038,2846720.000,1,0,183.680,189.596,7049996288.000,7100476074.667,10,0
shasum,10,1.000,1.458,4102144.000,1,0,cows,30,1.000,2.685,5226496.000,1,0,curl,40,1.000,24.263,6166528.000,1,0,198.880,194.350,7096928938.667,7117458602.667,10,0
shasum,10,1.000,1.516,3993600.000,5,0,cows,30,1.000,2.585,14860288.000,5,0,curl,40,1.000,20.728,4968448.000,5,0,212.350,205.090,7090303795.200,7117772970.667,10,0
shasum,10,1.000,1.068,18362368.000,5,0,cows,30,1.000,3.313,9797632.000,5,0,curl,40,1.000,25.142,4722688.000,5,0,187.640,196.370,7118039722.667,7128252928.000,10,0
shasum,10,1.000,1.039,3438592.000,5,0,cows,30,1.000,3.008,6725632.000,5,0,curl,50,1.000,24.727,4704256.000,13,0,200.720,203.560,7112652117.333,7173845333.333,10,0
shasum,10,1.000,1.529,3243520.000,1,0,cows,30,1.000,6.649,20344832.000,9,0,curl,50,1.000,31.015,10772480.000,17,1,217.120,220.070,7268485802.667,7399740416.000,10,1
shasum,10,1.000,0.717,4388864.000,1,0,cows,30,1.000,2.930,23388160.000,1,0,curl,50,1.000,23.931,10589525.333,1,0,231.840,237.055,7604118186.667,7511624192.000,20,0
shasum,10,1.000,1.350,3749888.000,1,0,cows,40,1.000,3.893,45466282.667,1,0,curl,0,1.000,3.243,3254272.000,1,0,232.240,192.460,7143813120.000,7123783509.333,10,0
shasum,10,1.000,1.286,3880960.000,1,0,cows,40,1.000,4.791,6512640.000,1,0,curl,0,1.000,0.196,32768000.000,1,0,175.000,147.060,7074395477.333,7065642325.333,10,0
shasum,10,1.000,1.751,3894272.000,1,0,cows,40,1.000,4.689,4964352.000,1,0,curl,0,1.000,0.198,32768000.000,1,0,158.080,176.759,7064188928.000,7111656448.000,10,0
shasum,10,1.000,1.632,3921408.000,1,0,cows,40,1.000,4.322,5591040.000,1,0,curl,10,1.000,4.676,34272768.000,1,0,160.560,149.000,7067936085.333,7072488960.000,10,0
shasum,10,1.000,1.597,3872768.000,1,0,cows,40,1.000,4.617,19931136.000,1,0,curl,10,1.000,5.523,4657152.000,1,0,170.400,252.923,7082122581.333,7111581866.667,10,0
shasum,10,1.000,1.503,3764224.000,5,0,cows,40,0.999,4.543,5120000.000,5,0,curl,10,1.000,8.228,4374016.000,5,0,188.960,176.150,7095504213.333,7107070293.333,10,0
shasum,10,1.000,1.758,3100672.000,5,0,cows,40,1.000,4.346,5480448.000,5,0,curl,20,1.000,13.721,4677120.000,5,0,170.880,177.410,7105335978.667,7112067242.667,10,0
shasum,10,1.000,1.509,3618816.000,5,0,cows,40,1.000,4.436,8171520.000,5,0,curl,20,1.000,12.400,3072000.000,5,0,180.800,181.880,7108341760.000,7110189056.000,10,0
shasum,10,1.000,1.319,3487744.000,1,0,cows,40,1.000,9.751,13363882.667,9,0,curl,20,1.000,11.457,5467136.000,9,0,189.440,189.810,7107899392.000,7262027264.000,10,0
shasum,10,1.000,1.428,3880960.000,1,0,cows,40,1.000,4.336,14987264.000,1,0,curl,30,1.000,11.392,9752576.000,1,0,192.640,208.590,7452562773.333,7465034069.333,10,0
shasum,10,1.000,1.466,3840000.000,1,0,cows,40,1.000,4.363,7806976.000,1,0,curl,30,1.000,12.938,4825600.000,1,0,218.160,207.720,7159804586.667,7146592768.000,10,0
shasum,10,1.000,1.151,4196352.000,1,0,cows,40,1.000,3.663,19058688.000,1,0,curl,30,1.000,16.075,5044224.000,1,0,208.040,198.460,7124992000.000,7152849408.000,10,0
shasum,10,1.000,1.373,2723840.000,1,0,cows,40,0.999,5.275,4849664.000,1,0,curl,40,1.000,23.357,5281792.000,1,0,218.000,205.960,7140112384.000,7161396224.000,10,0
shasum,10,1.000,1.416,3751936.000,5,0,cows,40,1.000,4.072,3801088.000,5,0,curl,40,1.000,26.752,3022848.000,5,0,194.520,204.810,7144000853.333,7150930944.000,10,0
shasum,10,1.000,1.496,3002368.000,5,0,cows,40,1.000,4.535,5132288.000,5,0,curl,40,1.000,26.099,2641920.000,5,0,201.800,203.060,7142116010.667,7158106794.667,10,0
shasum,10,1.000,1.283,2990080.000,5,0,cows,40,1.000,8.132,5447680.000,13,0,curl,50,1.000,30.092,9141248.000,13,0,205.000,208.190,7167663445.333,7324183381.333,10,0
shasum,10,1.000,0.855,4235264.000,1,0,cows,50,1.000,3.702,23416832.000,5,0,curl,10,1.000,5.796,13630805.333,5,0,264.658,221.575,7594264283.429,7311732321.524,10,0
shasum,10,1.000,1.632,2994176.000,5,0,cows,50,1.000,5.054,18989056.000,5,0,curl,10,1.000,7.037,2760704.000,5,0,231.120,230.000,7233105920.000,7252280320.000,10,0
shasum,10,1.000,1.557,3647488.000,5,0,cows,50,1.000,10.751,22425088.000,13,0,curl,10,1.000,6.304,3123200.000,5,0,195.520,195.230,7202567509.333,7321778005.333,10,0
shasum,10,1.000,1.681,3653632.000,1,0,cows,50,1.000,14.625,28963840.000,17,1,curl,20,1.000,14.849,5187584.000,1,0,226.960,221.352,7459175765.333,7542709418.667,10,1
shasum,10,1.000,1.074,3642880.000,1,0,cows,50,1.000,5.510,26852352.000,1,0,curl,20,1.000,13.519,3502592.000,1,0,197.440,201.792,7621334357.333,7369835690.667,20,0
shasum,10,1.000,1.540,3851776.000,1,0,cows,50,1.000,4.453,15775744.000,1,0,curl,20,1.000,13.216,4248064.000,1,0,183.160,185.574,7172603904.000,7208637269.333,10,0
shasum,10,1.000,1.543,4763648.000,1,0,cows,50,1.000,3.387,18366464.000,1,0,curl,30,1.000,19.521,5246976.000,1,0,200.920,195.590,7180448426.667,7204457642.667,10,0
shasum,10,1.000,1.530,3504128.000,5,0,cows,50,1.000,5.010,16334848.000,5,0,curl,30,1.000,22.264,3203072.000,5,0,207.800,196.660,7178360422.400,7205292885.333,10,0
shasum,10,1.000,1.647,2658304.000,5,0,cows,50,1.000,4.941,5664768.000,5,0,curl,30,1.000,19.834,4108288.000,5,0,201.920,196.940,7203680938.667,7214330197.333,10,0
shasum,10,1.000,1.699,3524608.000,1,0,cows,50,1.000,9.783,19726848.000,9,0,curl,40,1.000,22.965,4215808.000,9,0,205.000,205.890,7217281706.667,7353069738.667,10,0
shasum,10,1.000,1.645,4726784.000,1,0,cows,50,1.000,8.196,30127445.333,17,1,curl,40,0.294,22.497,8584192.000,1,1,224.400,320.731,7536308906.667,7791128007.111,10,1
shasum,10,0.993,0.569,7471104.000,1,0,cows,50,0.798,1.099,5677056.000,1,1,curl,50,0.175,1.761,0.000,1,1,337.048,195.762,7274318116.571,7172851614.476,10,1
shasum,10,1.000,1.156,15007402.667,1,0,cows,50,1.000,8.937,69225472.000,5,0,curl,50,1.000,36.095,67074560.000,5,0,171.137,186.094,7317312170.667,7332856661.333,10,0
shasum,10,1.000,1.927,4790272.000,5,0,cows,50,1.000,10.393,23344128.000,17,1,curl,50,0.755,28.421,2902698.667,5,1,225.600,229.222,7360033450.667,7552951296.000,10,1
shasum,20,1.000,1.997,0.000,5,0,cows,0,1.000,2.268,16975872.000,1,0,curl,0,1.000,3.102,0.000,1,0,236.344,194.408,7797367466.667,7463873536.000,20,0
shasum,20,1.000,2.850,2633728.000,13,0,cows,0,1.000,0.118,52556970.667,1,0,curl,0,1.000,0.180,44682240.000,1,0,129.560,115.910,7176308053.333,7156937045.333,10,0
shasum,20,1.000,3.713,4946944.000,17,1,cows,0,1.000,0.113,52670464.000,1,0,curl,0,1.000,0.520,44692138.667,1,0,115.360,108.710,7210483029.333,7239961429.333,10,1
