function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,0,1.000,0.076,8960512.000,1,0,cows,20,1.000,2.854,20254720.000,1,0,curl,0,1.000,2.188,7317504.000,1,0,161.960,139.750,7592855552.000,7560560128.000,20,0
env,0,1.000,0.073,8962048.000,1,0,cows,20,1.000,1.926,5255168.000,1,0,curl,0,1.000,0.186,30712832.000,1,0,146.280,117.860,7324221440.000,7333174272.000,10,0
env,0,1.000,0.064,8962048.000,1,0,cows,20,1.000,4.639,13291520.000,1,0,curl,0,1.000,0.221,30709248.000,1,0,107.560,103.790,7289464832.000,7298754218.667,10,0
env,0,1.000,0.082,8962048.000,1,0,cows,20,1.000,2.907,14881792.000,1,0,curl,10,1.000,6.356,33132202.667,1,0,100.720,113.990,7283308544.000,7291165696.000,10,0
env,0,1.000,0.072,8962048.000,1,0,cows,20,1.000,2.361,8654848.000,1,0,curl,10,1.000,7.722,4280320.000,1,0,136.440,137.740,7303757824.000,7323978581.333,10,0
env,0,1.000,0.074,8962901.333,1,0,cows,20,1.000,2.177,6320128.000,1,0,curl,10,1.000,6.454,4874240.000,1,0,142.920,143.290,7322615125.333,7334391808.000,10,0
env,0,1.000,0.078,8973312.000,1,0,cows,20,1.000,2.197,37621760.000,1,0,curl,20,1.000,10.600,4773888.000,1,0,156.920,150.460,7323396096.000,7334553088.000,10,0
env,0,1.000,0.076,8974336.000,1,0,cows,20,1.000,2.692,37429589.333,5,0,curl,20,1.000,12.339,4913152.000,5,0,157.160,149.650,7322859520.000,7335382698.667,10,0
env,0,1.000,0.079,8974336.000,1,0,cows,20,1.000,3.540,5943296.000,5,0,curl,20,1.000,13.999,2906794.667,5,0,143.600,150.160,7352722090.667,7345766229.333,10,0
env,0,1.000,0.074,8975360.000,1,0,cows,20,1.000,3.090,4870144.000,5,0,curl,30,1.000,16.241,3022848.000,5,0,147.440,160.816,7345822378.667,7351056213.333,10,0
env,0,1.000,0.065,8982528.000,1,0,cows,20,1.000,5.611,17559040.000,9,0,curl,30,1.000,16.875,2854912.000,9,0,159.520,152.070,7378579456.000,7429744810.667,10,0
env,0,1.000,0.078,8982528.000,1,0,cows,20,1.000,5.759,26451968.000,13,0,curl,30,1.000,21.591,7014912.000,13,0,168.520,170.578,7539972778.667,7643947861.333,10,0
env,0,1.000,0.173,9582080.000,1,0,cows,20,1.000,8.460,27595264.000,17,1,curl,40,1.000,26.293,10149888.000,17,1,182.840,199.260,7814547456.000,7869455189.333,10,1
env,0,1.000,0.090,13858816.000,1,0,cows,20,0.000,5.314,26107904.000,17,1,curl,40,0.000,7.378,3546112.000,17,1,250.080,429.238,8096030720.000,8270846725.689,20,1
env,0,1.000,0.153,12649984.000,1,0,cows,20,1.000,1.346,21098496.000,5,0,curl,40,1.000,11.485,7325013.333,5,0,677.292,333.479,8083480576.000,7715056054.857,20,0
env,0,1.000,0.065,13078016.000,1,0,cows,30,1.000,3.307,5681152.000,5,0,curl,0,1.000,9.687,2736128.000,1,0,219.640,184.322,7484385280.000,7501190314.667,10,0
env,0,1.000,0.099,13443242.667,1,0,cows,30,1.000,6.907,20233216.000,9,0,curl,0,1.000,0.182,3768320.000,1,0,144.600,120.310,7469944832.000,7486625962.667,10,0
env,0,1.000,0.071,14016512.000,1,0,cows,30,1.000,11.346,11132928.000,13,0,curl,0,1.000,0.189,20561408.000,1,0,127.800,129.400,7564805461.333,7644938240.000,10,0
env,0,1.000,0.072,14016512.000,1,0,cows,30,1.000,10.175,25001472.000,17,1,curl,10,1.000,5.841,27295744.000,1,0,103.320,133.800,7680503125.333,7743065770.667,10,1
env,0,1.000,0.081,14026752.000,1,0,cows,30,1.000,3.414,24468138.667,5,0,curl,10,1.000,4.575,3267242.667,1,0,174.960,176.220,7875872768.000,7704203776.000,20,0
env,0,1.000,0.076,14032896.000,1,0,cows,30,1.000,5.120,17326080.000,5,0,curl,10,1.000,8.191,3108864.000,5,0,177.600,157.992,7493628586.667,7487411370.667,10,0
env,0,1.000,0.073,14032896.000,1,0,cows,30,1.000,3.581,38463488.000,5,0,curl,20,1.000,9.847,5319168.000,5,0,148.160,157.900,7339337728.000,7355694250.667,10,0
env,0,1.000,0.082,14032896.000,1,0,cows,30,1.000,3.927,7565312.000,1,0,curl,20,1.000,11.882,7794688.000,1,0,162.840,155.690,7348225365.333,7360034986.667,10,0
env,0,1.000,0.071,14032896.000,1,0,cows,30,1.000,3.355,7356416.000,1,0,curl,20,1.000,10.237,4921344.000,1,0,156.040,158.220,7356339541.333,7319254357.333,10,0
env,0,1.000,0.076,14040064.000,1,0,cows,30,1.000,3.045,5042176.000,1,0,curl,30,1.000,17.619,5023744.000,1,0,152.840,161.510,7264208213.333,7278608213.333,10,0
env,0,1.000,0.169,14145536.000,1,0,cows,30,1.000,4.412,38586880.000,1,0,curl,30,1.000,23.728,4917248.000,1,0,179.840,171.740,7271397376.000,7288267605.333,10,0
env,0,1.000,0.068,14180352.000,1,0,cows,30,1.000,3.197,3231744.000,5,0,curl,30,1.000,19.416,3256320.000,5,0,183.040,171.540,7283800746.667,7287290880.000,10,0
env,0,1.000,0.073,14180352.000,1,0,cows,30,1.000,3.835,3231744.000,5,0,curl,40,1.000,18.239,5894144.000,5,0,156.400,172.320,7295751509.333,7288221866.667,10,0
env,0,1.000,0.101,14241792.000,1,0,cows,30,1.000,4.091,4055040.000,5,0,curl,40,1.000,23.890,2740224.000,13,0,174.880,185.630,7289779541.333,7333525333.333,10,0
env,0,1.000,0.077,14303232.000,1,0,cows,30,1.000,5.984,18008064.000,9,0,curl,40,1.000,23.162,5943466.667,17,1,192.560,177.780,7431733248.000,7513283754.667,10,1
env,0,1.000,0.079,14303232.000,1,0,cows,40,1.000,5.424,27189248.000,5,0,curl,0,1.000,2.612,9380864.000,1,0,176.560,155.820,7653386240.000,7564714666.667,20,0
env,0,1.000,0.080,14303232.000,1,0,cows,40,1.000,7.843,41360384.000,9,0,curl,0,1.000,0.135,29503488.000,1,0,167.240,126.810,7294440789.333,7317688490.667,10,0
env,0,1.000,0.075,14305280.000,1,0,cows,40,1.000,13.333,41590272.000,13,0,curl,0,1.000,0.219,29503488.000,1,0,150.080,129.380,7419857578.667,7498148522.667,10,0
env,0,1.000,0.073,14311936.000,1,0,cows,40,1.000,4.889,42023936.000,5,0,curl,10,1.000,5.605,30938624.000,1,0,129.080,181.930,7576668160.000,7458820949.333,20,0
env,0,1.000,0.077,14315520.000,1,0,cows,40,1.000,7.333,8425472.000,1,0,curl,10,1.000,5.970,4956160.000,1,0,171.720,171.720,7384557568.000,7383744512.000,10,0
env,0,1.000,0.076,14315520.000,1,0,cows,40,1.000,6.109,17981440.000,1,0,curl,10,1.000,7.967,5056512.000,1,0,169.840,163.220,7307576661.333,7322040661.333,10,0
env,0,1.000,0.082,14315520.000,1,0,cows,40,1.000,4.988,42952192.000,1,0,curl,20,1.000,12.108,4966400.000,1,0,163.640,168.940,7326422357.333,7336677034.667,10,0
