function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,10,1.000,1.994,3148800.000,1,0,shasum,40,1.000,3.851,3396608.000,13,0,env,0,1.000,2.158,3295232.000,1,0,237.370,183.586,11993356970.667,12047658837.333,10,0
figlet,10,1.000,1.546,3503445.333,1,0,shasum,40,1.000,4.508,6060714.667,1,0,env,0,1.000,0.072,33538048.000,1,0,167.647,128.224,12103300437.333,12049524906.667,20,0
figlet,10,1.000,1.628,3665920.000,1,0,shasum,40,1.000,5.021,3620864.000,1,0,env,0,1.000,0.070,33538048.000,1,0,110.400,106.260,11886811136.000,11893725696.000,10,0
figlet,10,1.000,1.978,4007936.000,1,0,shasum,40,1.000,4.893,36101120.000,1,0,env,10,1.000,0.841,33538048.000,1,0,110.240,111.438,11874082816.000,11901285717.333,10,0
figlet,10,1.000,2.023,5455872.000,1,0,shasum,40,1.000,5.092,5122048.000,1,0,env,10,1.000,1.294,2830336.000,1,0,131.920,128.884,11900813312.000,11923026773.333,10,0
figlet,10,1.000,2.165,3975168.000,1,0,shasum,40,1.000,4.776,4448768.000,1,0,env,10,1.000,1.437,3785216.000,1,0,141.922,131.710,11896195072.000,11916795221.333,10,0
figlet,10,1.000,1.923,3522560.000,1,0,shasum,40,1.000,5.100,6606848.000,1,0,env,20,1.000,1.939,4484608.000,1,0,142.960,135.988,11892300458.667,11915749205.333,10,0
figlet,10,1.000,1.787,4016128.000,1,0,shasum,40,1.000,4.349,4444160.000,1,0,env,20,1.000,2.709,4476928.000,1,0,160.120,141.568,11905970858.667,11925984938.667,10,0
figlet,10,1.000,2.109,3942912.000,1,0,shasum,40,1.000,4.041,4368384.000,1,0,env,20,1.000,1.839,4643840.000,1,0,148.040,135.980,11903705770.667,11913216853.333,10,0
figlet,10,1.000,1.979,3772416.000,1,0,shasum,40,1.000,5.373,4339712.000,1,0,env,30,1.000,3.949,3841024.000,1,0,151.360,139.290,11886443178.667,11914557781.333,10,0
figlet,10,1.000,2.285,3035136.000,1,0,shasum,40,1.000,5.053,4243456.000,1,0,env,30,1.000,3.874,4317696.000,1,0,165.800,147.647,11901781333.333,11913419946.667,10,0
figlet,10,1.000,2.301,3444736.000,1,0,shasum,40,1.000,6.365,4366336.000,1,0,env,30,1.000,2.352,4556288.000,1,0,158.040,144.793,11888225621.333,11907667114.667,10,0
figlet,10,1.000,1.533,4241408.000,1,0,shasum,40,1.000,5.069,4370432.000,1,0,env,40,1.000,3.821,4354048.000,1,0,164.480,145.655,11889986218.667,11906985130.667,10,0
figlet,10,1.000,2.215,3681792.000,1,0,shasum,40,1.000,5.432,3174400.000,1,0,env,40,1.000,4.476,4934656.000,1,0,177.920,149.333,11878958421.333,11902124714.667,10,0
figlet,10,1.000,2.112,4677632.000,1,0,shasum,40,1.000,5.583,4241408.000,1,0,env,40,1.000,5.994,4122112.000,1,0,156.680,144.220,11889717248.000,11903443797.333,10,0
figlet,10,1.000,1.981,3592192.000,5,0,shasum,40,1.000,4.624,4417024.000,5,0,env,50,1.000,4.191,4627456.000,5,0,144.166,146.778,11878997333.333,11908871509.333,10,0
figlet,10,1.000,1.880,4212736.000,5,0,shasum,40,1.000,4.765,4081664.000,5,0,env,50,1.000,7.109,3855701.333,5,0,154.464,152.667,11891202730.667,11913649152.000,10,0
figlet,10,1.000,2.446,3092480.000,5,0,shasum,40,1.000,4.580,3713024.000,5,0,env,50,1.000,6.568,2818048.000,5,0,150.920,155.714,11885054634.667,11909349205.333,10,0
figlet,10,1.000,2.097,3712000.000,5,0,shasum,50,1.000,6.440,3383296.000,17,1,env,0,1.000,2.020,4399616.000,1,0,153.320,163.085,11891694250.667,12000344576.000,10,1
figlet,10,1.000,1.201,3234816.000,5,0,shasum,50,1.000,5.317,4550656.000,5,0,env,0,1.000,0.075,33681408.000,1,0,160.234,136.669,12128083285.333,12098166442.667,20,0
figlet,10,1.000,1.532,3293184.000,5,0,shasum,50,1.000,6.565,4937728.000,17,1,env,0,1.000,0.074,33681408.000,1,0,163.720,166.839,11958441301.333,12054212949.333,10,1
figlet,20,1.000,2.014,3063808.000,5,0,shasum,0,1.000,1.129,8546816.000,1,0,env,0,1.000,0.073,33681408.000,1,0,130.120,118.664,12137974442.667,12128829610.667,20,0
figlet,20,1.000,3.150,3145728.000,9,0,shasum,0,1.000,0.081,36007936.000,1,0,env,0,1.000,0.069,33681408.000,1,0,111.508,76.817,11929359701.333,11941913258.667,10,0
figlet,20,1.000,5.012,5215232.000,17,1,shasum,0,1.000,0.085,36007936.000,1,0,env,0,1.000,0.093,33681408.000,1,0,97.520,102.650,11994826752.000,12071570090.667,10,1
