	funca	qrcode	ocr
node_0	60	0	5
node_1	0	10	0
node_2	45	4	0
node_3	0	10	3
node_4	0	10	3
node_5	0	2	1
node_6	60	4	0
node_7	40	0	0
node_8	0	5	0
node_9	0	3	0
