	funca	qrcode	ocr
node_0	18	1	0
node_1	174	0	9
node_10	53	0	0
node_11	0	0	0
node_12	6	1	0
node_13	29	0	2
node_14	0	0	0
node_15	60	0	0
node_16	6	0	0
node_17	18	1	0
node_18	0	0	0
node_19	83	0	0
node_2	9	30	0
node_20	60	0	0
node_21	18	1	0
node_22	174	0	9
node_23	0	0	0
node_24	60	0	0
node_3	18	0	6
node_4	60	0	0
node_5	18	1	0
node_6	174	0	9
node_7	9	30	0
node_8	6	0	0
node_9	0	0	0
