	funca	qrcode	ocr
node_0	0	0	0
node_1	0	6	0
node_2	0	0	0
node_3	0	0	0
node_4	0	0	0
node_5	0	1	0
node_6	70	4	0
node_7	39	0	0
node_8	0	2	0
node_9	0	0	0
