	funca	qrcode	ocr
node_0	47	0	1
node_1	0	6	0
node_2	45	3	0
node_3	0	10	3
node_4	0	8	2
node_5	0	1	0
node_6	72	4	0
node_7	39	0	0
node_8	0	2	0
node_9	0	0	0
